,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,134.057134254,10000000136.4,119.209135355,57.6549944862,0.0,87.0105374022,86.486893983,74.2246315827,72.3302607614,88.5788974767,69.3961837756,104.070152593,91.2039109557,76.0189273437,70.3270285346,91.2259186877,10000000136.4,55.2563253898,106.109680497,123.999619419,88.5788974767,119.567125779,104.070152593,34.427959824,0.0,118.524424518,96.8960477957,103.494350338,85.115976473,35.0973847363,10000000136.4,104.070152593,70.5842210441,70.0253919286,44.2980690472,70.5781733781,0.0,70.5781733781,63.9541969312,96.7374182208,10000000136.4
1,110.170583025,10000000112.5,95.3225841264,33.7684432572,44.969368419,63.1239861732,62.600342754,50.3380803537,48.4437095324,64.6923462477,45.5096325466,80.1836013636,67.3173597267,52.1323761147,46.4404773056,67.3393674587,10000000112.5,31.3697741608,82.2231292676,100.11306819,64.6923462477,95.6805745497,80.1836013636,10.541408595,44.969368419,94.6378732893,73.0094965667,79.6077991086,61.229425244,11.2108335073,10000000112.5,80.1836013636,46.6976698151,46.1388406996,20.4115178182,46.6916221491,44.969368419,46.6916221491,40.0676457022,72.8508669918,10000000112.5
2,134.057134254,10000000136.4,119.209135355,57.6549944862,0.0,87.0105374022,86.486893983,74.2246315827,72.3302607614,88.5788974767,69.3961837756,104.070152593,91.2039109557,76.0189273437,70.3270285346,91.2259186877,10000000136.4,55.2563253898,106.109680497,123.999619419,88.5788974767,119.567125779,104.070152593,34.427959824,0.0,118.524424518,96.8960477957,103.494350338,85.115976473,35.0973847363,10000000136.4,104.070152593,70.5842210441,70.0253919286,44.2980690472,70.5781733781,0.0,70.5781733781,63.9541969312,96.7374182208,10000000136.4
3,108.508174738,10000000110.9,112.363405589,23.68329665,76.5409529434,54.1080690234,57.0371113184,67.3789018158,65.6534421977,81.902078913,62.7193652119,97.2244228257,84.3581811888,69.1731975768,38.6555271997,84.3801889208,10000000110.9,21.2846275536,80.5607209806,98.4506599035,81.902078913,94.0181662627,97.2244228257,42.1129931195,76.5409529434,92.9754650023,71.3470882797,96.6486205707,69.6004328294,41.739259705,10000000110.9,97.2244228257,38.9127197091,63.3485733649,37.6212504835,63.7324436112,76.5409529434,63.7324436112,57.2773783675,63.834949842,10000000110.9
4,89.7590652068,10000000092.1,74.9110663082,13.9379538335,44.2980690472,42.712468355,42.1888249357,29.9265625355,28.0321917142,44.2808284295,25.0981147284,59.7720835454,46.9058419085,31.7208582965,26.0289594874,46.9278496405,10000000092.1,16.3366229299,61.8116114494,79.7015503722,44.2808284295,75.2690567315,59.7720835454,9.87010922323,44.2980690472,74.2263554711,52.5979787485,59.1962812904,40.8179074258,9.20068431092,10000000092.1,59.7720835454,26.2861519969,25.7273228813,0.0,26.2801043309,44.2980690472,26.2801043309,19.656127884,52.4393491736,10000000092.1
5,99.62917443,10000000102.0,84.7811755315,23.2270346622,34.427959824,52.5825775782,52.058934159,39.7966717588,37.9023009374,54.1509376527,34.9682239517,69.6421927686,56.7759511317,41.5909675197,35.8990687106,56.7979588637,10000000102.0,20.8283655658,71.6817206726,89.5716595955,54.1509376527,85.1391659547,69.6421927686,0.0,34.427959824,84.0964646943,62.4680879717,69.0663905136,50.688016649,0.669424912309,10000000102.0,69.6421927686,36.1562612201,35.5974321046,9.87010922323,36.1502135541,34.427959824,36.1502135541,29.5262371072,62.3094583968,10000000102.0
6,108.508174738,10000000110.9,112.363405589,23.68329665,76.5409529434,54.1080690234,57.0371113184,67.3789018158,65.6534421977,81.902078913,62.7193652119,97.2244228257,84.3581811888,69.1731975768,38.6555271997,84.3801889208,10000000110.9,21.2846275536,80.5607209806,98.4506599035,81.902078913,94.0181662627,97.2244228257,42.1129931195,76.5409529434,92.9754650023,71.3470882797,96.6486205707,69.6004328294,41.739259705,10000000110.9,97.2244228257,38.9127197091,63.3485733649,37.6212504835,63.7324436112,76.5409529434,63.7324436112,57.2773783675,63.834949842,10000000110.9
7,73.7572784645,10000000076.1,77.612509315,11.0675996235,67.6533646523,19.3571727499,22.2862150449,32.6280055423,31.3957974537,61.22433421,40.4946610537,62.4735265521,49.6072849153,34.4223013033,3.90463092611,49.6292926473,10000000076.1,13.4662687199,45.8098247071,63.6997636299,61.22433421,59.2672699892,62.4735265521,33.2254048283,67.6533646523,58.2245687288,36.5961920062,61.8977242972,34.8495365559,32.555979916,10000000076.1,62.4735265521,4.16182343557,31.9634547631,23.3552956051,28.9815473377,67.6533646523,28.9815473377,36.5996336645,29.0840535685,10000000076.1
8,58.8324103023,10000000061.2,66.6804860412,38.2100245132,77.4088648067,33.2255706986,20.5967725928,21.6959822685,20.4637741799,53.2563107391,29.5626377798,51.5415032783,38.6752616414,23.4902780294,23.5655814471,38.6972693735,10000000061.2,40.6086936096,30.884956545,48.7748954678,53.2563107391,44.3424018271,51.5415032783,42.9809049828,77.4088648067,43.2997005667,21.6713238441,50.9657010233,9.89125252135,42.3114800705,10000000061.2,51.5415032783,22.9806014541,21.0314314893,33.1107957595,18.0495240638,77.4088648067,18.0495240638,28.6316101936,29.1834622818,10000000061.2
9,48.941157781,10000000051.3,74.3875977074,45.9171361794,85.115976473,29.019090579,28.3038842591,29.4030939347,28.1708858461,60.9634224053,37.2697494461,59.2486149445,46.3823733077,31.1973896957,31.2726931134,46.4043810397,10000000051.3,48.3158052758,20.9937040236,38.8836429465,60.9634224053,34.4511493057,59.2486149445,50.688016649,85.115976473,33.4084480453,11.7800713227,58.6728126896,0.0,50.0185917367,10000000051.3,59.2486149445,30.6877131203,28.7385431555,40.8179074258,25.7566357301,85.115976473,25.7566357301,36.3387218598,19.2922097604,10000000051.3
