,geometry,Node,pointgeo,x,y,osmid,IsCentroid
150,POINT (105.7076243237563 20.06356199552885),328,POINT (105.7076243237563 20.06356199552885),105.707624324,20.0635619955,150,1
151,POINT (105.7281018007515 20.14708426159192),334,POINT (105.7281018007515 20.14708426159192),105.728101801,20.1470842616,151,0
152,POINT (105.7205939718428 20.12754993864094),335,POINT (105.7205939718428 20.12754993864094),105.720593972,20.1275499386,152,0
153,POINT (105.7275700966604 20.14741389448535),337,POINT (105.7275700966604 20.14741389448535),105.727570097,20.1474138945,153,0
154,POINT (105.7378385500763 20.14437762238497),348,POINT (105.7378385500763 20.14437762238497),105.73783855,20.1443776224,154,1
155,POINT (105.749609614099 20.13749942855066),351,POINT (105.749609614099 20.13749942855066),105.749609614,20.1374994286,155,0
156,POINT (105.7410794752089 20.13665442338586),354,POINT (105.7410794752089 20.13665442338586),105.741079475,20.1366544234,156,0
157,POINT (105.845577580184 20.04597891608138),355,POINT (105.845577580184 20.04597891608138),105.84557758,20.0459789161,157,1
158,POINT (105.7394699191434 20.06652608433778),357,POINT (105.7394699191434 20.06652608433778),105.739469919,20.0665260843,158,1
159,POINT (105.7624711977555 20.10127271131428),359,POINT (105.7624711977555 20.10127271131428),105.762471198,20.1012727113,159,0
160,POINT (105.7888197865735 20.13642257612654),363,POINT (105.7888197865735 20.13642257612654),105.788819787,20.1364225761,160,0
161,POINT (105.8509390531174 20.06662263100612),369,POINT (105.8509390531174 20.06662263100612),105.850939053,20.066622631,161,1
