,ID,IsCentroid,Line_Geome,TC_iri_med,VPROMMS_ID,geometry,iri_max,iri_mean,iri_med,iri_min,iri_stdev,length,osmid,speed_mean,speed_med,total_cost,End_pos,Start_pos,TNODE_,FNODE_
0,19,2,"LINESTRING (105.5520195932107 20.28094582996281, 105.5520171538101 20.28095615505044, 105.5520068072751 20.28098651409026, 105.5519976874206 20.2810202508611, 105.5519741779909 20.28108118982099, 105.5519448586882 20.28113759236706, 105.5519097295123 20.",8.715,Input VPROMMS: 217b_1 (49.72 pct); 217B_1 (49.17 pct); 214TT00018 (0.55 pct); DHCM_1 (0.55 pct);,"LINESTRING (105.5520195932107 20.28094582996281, 105.5214932166261 20.30747449983966)",11.27,8.67909090909,8.715,6.26,1.19359300878,4.63915496153,10000,33.295,33.675,10.4056245787,"(105.552019593, 20.28094583)","(105.521493217, 20.3074744998)",0,185
1,27,2,"LINESTRING (105.5520195932107 20.28094582996281, 105.5520726221338 20.28092016995163, 105.5521292853946 20.28088511787283, 105.5521940698088 20.28083423352926, 105.5522390455207 20.28078930861827, 105.5522587080225 20.28076425164386, 105.5522804718809 20",8.07,Input VPROMMS: 217B_1 (49.12 pct); 217b_1 (49.12 pct); 214TT00017 (1.75 pct);,"LINESTRING (105.5520195932107 20.28094582996281, 105.5552144346459 20.26302744396019)",11.12,8.15166666667,8.07,5.86,1.23095897576,2.81890251748,10001,33.9136111111,34.08,5.95915992195,"(105.552019593, 20.28094583)","(105.555214435, 20.263027444)",0,2
2,28,2,"LINESTRING (105.5552144346459 20.26302744396019, 105.5552142451914 20.2629955892676, 105.5552074000977 20.26292813211983, 105.5551941319425 20.26286417786408, 105.5551768115526 20.26281100485794, 105.5551519177438 20.26275667711357, 105.5551194040327 20.",8.64,Input VPROMMS: 217B_1 (49.25 pct); 217b_1 (49.25 pct); 213TT00002 (1.49 pct);,"LINESTRING (105.5552144346459 20.26302744396019, 105.5658120417363 20.25472462500657)",10.24,8.55857142857,8.64,6.45,1.05147410914,1.66635099276,10002,30.625,31.25,3.71263001187,"(105.555214435, 20.263027444)","(105.565812042, 20.254724625)",2,6
3,29,1,"LINESTRING (105.5856554044678 20.2733981790191, 105.5856370620033 20.27336902272417, 105.5855964368554 20.27329090160594, 105.585576212985 20.2732421058896, 105.5855544564872 20.27322197852348, 105.5854938750967 20.27317454344709, 105.5854466930537 20.27",10.02,213TT00002,"LINESTRING (105.5856554044678 20.2733981790191, 105.5658120417363 20.25472462500657)",14.58,9.99444444444,10.02,7.29,1.31461973176,4.36446486691,10003,26.1891666667,25.28,10.9286200267,"(105.585655404, 20.273398179)","(105.565812042, 20.254724625)",3,6
4,43,0,"LINESTRING (105.5856554044678 20.2733981790191, 105.5857606746701 20.27338202790559, 105.5857783321352 20.27337860687013, 105.5859469744934 20.27336048903738, 105.5860086305124 20.27336136910869, 105.586027859823 20.27336402755788, 105.5860696337556 20.2",9.45,213TT00002,"LINESTRING (105.5856554044678 20.2733981790191, 105.5881444133594 20.276459550392)",10.91,9.575,9.45,8.49,1.0530748628,0.480276524089,10004,28.83,29.02,1.14786089257,"(105.585655404, 20.273398179)","(105.588144413, 20.2764595504)",3,11
5,38,0,"LINESTRING (105.5761254822951 20.29119634598613, 105.5761255135097 20.29119630158144, 105.5761255210063 20.29119628182436, 105.5761255235604 20.29119625923879, 105.5761254879736 20.29119600198961, 105.5761253690992 20.29118642699021, 105.5761271726729 20",9.675,Input VPROMMS: 214TT00072 (73.61 pct); 214TT00017 (26.39 pct);,"LINESTRING (105.5856554044678 20.2733981790191, 105.5761254822951 20.29119634598613)",10.81,9.62333333333,9.675,8.18,0.880515000819,2.61180228867,10005,21.0683333333,20.625,6.35973857291,"(105.585655404, 20.273398179)","(105.576125482, 20.291196346)",3,189
6,30,1,"LINESTRING (105.5658120417363 20.25472462500657, 105.5658723096711 20.25468266459532, 105.565909534368 20.2546616641869, 105.565926522139 20.25464990604942, 105.5659815804785 20.2546192629171, 105.5659877684662 20.25461658964894, 105.5660368855755 20.254",6.95,Input VPROMMS: 217B_1 (46.88 pct); 217b_1 (46.88 pct); 214TT00018 (3.13 pct); 213TT00002 (3.13 pct);,"LINESTRING (105.5658120417363 20.25472462500657, 105.5697379126286 20.25285281629724)",8.48,7.18,6.95,5.19,1.23033870675,0.466011736493,10006,25.4385714286,24.97,0.880762181972,"(105.565812042, 20.254724625)","(105.569737913, 20.2528528163)",6,7
7,31,0,"LINESTRING (105.5697379126286 20.25285281629724, 105.5697420100172 20.25285743802417, 105.5697621496863 20.25288414414374, 105.5698599563335 20.25299374592281, 105.569884291014 20.25302807267736, 105.5699139667195 20.25306115159014, 105.5699432226266 20.",6.515,214TT00018,"LINESTRING (105.5697379126286 20.25285281629724, 105.5736103277063 20.24984405123571)",12.52,7.571,6.515,5.18,2.72662367529,2.37252186276,10007,27.82,26.53,4.27765691856,"(105.569737913, 20.2528528163)","(105.573610328, 20.2498440512)",7,192
8,35,0,"LINESTRING (105.5948921070372 20.23390698306157, 105.5948794697887 20.2339137692246, 105.5948214509574 20.23395248251922, 105.5947705467937 20.2339948027075, 105.5947262282612 20.234041082791, 105.5946884953599 20.23409132276982, 105.5946623385077 20.234",8.03,Input VPROMMS: 217B_1 (49.51 pct); 217b_1 (49.51 pct); 214TT00074 (0.97 pct);,"LINESTRING (105.5948921070372 20.23390698306157, 105.5736103277063 20.24984405123571)",10.33,7.68066666667,8.03,5.41,1.55344532603,2.93688458877,10008,35.538,35.5,6.18507894395,"(105.594892107, 20.2339069831)","(105.573610328, 20.2498440512)",8,192
9,49,1,"LINESTRING (105.6161673917474 20.20943437064778, 105.6160681233789 20.20944472132441, 105.6160096765317 20.20944442913792, 105.6159805893265 20.20944754285022, 105.6159802987042 20.20944754111352, 105.6159180172593 20.20945420905099, 105.6159177265406 20",8.315,Input VPROMMS: 217B_1 (48.63 pct); 217b_1 (48.63 pct); 214TT00074 (1.37 pct); 214TT00082 (1.37 pct);,"LINESTRING (105.5948921070372 20.23390698306157, 105.6161673917474 20.20943437064778)",15.44,8.45476190476,8.315,5.79,1.6424242019,3.57290652483,10009,34.9216666667,36.575,7.72819681321,"(105.594892107, 20.2339069831)","(105.616167392, 20.2094343706)",8,14
