,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,10000000136.4,10000000136.4,10000000136.4,10000000136.4,123.999619419,10000000136.4,10000000124.0,134.057134254,119.567125779,118.524424518,119.209135355,96.8960477957,109.883690067,97.6428299797,96.7374182208,87.0105374022,86.486893983,100.67757023,96.7721909542,89.8237298778,95.6573455401,104.070152593,76.0189273437,67.7391828729,67.2383836827,70.5842210441,55.544226865,79.4081587993,44.969368419,66.2096765603,70.5355738818,34.9495389874,55.2563253898,76.5409529434,44.969368419,76.5409529434,0.0,0.0,88.5788974767,91.7520311464
1,10000000112.5,10000000112.5,10000000112.5,10000000112.5,100.11306819,10000000112.5,10000000100.1,110.170583025,95.6805745497,94.6378732893,95.3225841264,73.0094965667,85.9971388377,73.7562787507,72.8508669918,63.1239861732,62.600342754,76.7910190007,72.8856397252,65.9371786488,71.7707943111,80.1836013636,52.1323761147,43.8526316439,43.3518324537,46.6976698151,31.657675636,55.5216075703,0.0,42.3231253313,46.6490226528,11.0629877584,31.3697741608,52.6544017144,0.0,52.6544017144,44.969368419,44.969368419,64.6923462477,67.8654799174
2,10000000136.4,10000000136.4,10000000136.4,10000000136.4,123.999619419,10000000136.4,10000000124.0,134.057134254,119.567125779,118.524424518,119.209135355,96.8960477957,109.883690067,97.6428299797,96.7374182208,87.0105374022,86.486893983,100.67757023,96.7721909542,89.8237298778,95.6573455401,104.070152593,76.0189273437,67.7391828729,67.2383836827,70.5842210441,55.544226865,79.4081587993,44.969368419,66.2096765603,70.5355738818,34.9495389874,55.2563253898,76.5409529434,44.969368419,76.5409529434,0.0,0.0,88.5788974767,91.7520311464
3,10000000110.9,10000000110.9,10000000110.9,10000000110.9,98.4506599035,10000000110.9,10000000098.5,108.508174738,94.0181662627,92.9754650023,112.363405589,71.3470882797,77.9813244968,64.740361601,63.834949842,54.1080690234,57.0371113184,93.8318404628,89.9264611873,82.9780001109,88.8116157732,97.2244228257,69.1731975768,60.893453106,60.3926539158,38.9127197091,48.8674083013,46.5056904206,52.6544017144,59.5328579966,63.8587553181,41.5914139561,21.2846275536,0.0,52.6544017144,0.0,76.5409529434,76.5409529434,81.902078913,58.8495627676
4,10000000092.1,10000000092.1,10000000092.1,10000000092.1,79.7015503722,10000000092.1,10000000079.7,89.7590652068,75.2690567315,74.2263554711,74.9110663082,52.5979787485,65.5856210195,53.3447609325,52.4393491736,42.712468355,42.1888249357,56.3795011825,52.474121907,45.5256608306,51.3592764929,59.7720835454,31.7208582965,23.4411138257,22.9403146355,26.2861519969,11.2461578178,35.1100897521,20.4115178182,21.9116075131,26.2375048346,9.34853005985,16.3366229299,37.6212504835,20.4115178182,37.6212504835,44.2980690472,44.2980690472,44.2808284295,47.4539620992
5,10000000102.0,10000000102.0,10000000102.0,10000000102.0,89.5716595955,10000000102.0,10000000089.6,99.62917443,85.1391659547,84.0964646943,84.7811755315,62.4680879717,75.4557302427,63.2148701558,62.3094583968,52.5825775782,52.058934159,66.2496104057,62.3442311302,55.3957700538,61.2293857161,69.6421927686,41.5909675197,33.3112230489,32.8104238587,36.1562612201,21.116267041,44.9801989753,10.541408595,31.7817167363,36.1076140578,0.521579163383,20.8283655658,42.1129931195,10.541408595,42.1129931195,34.427959824,34.427959824,54.1509376527,57.3240713224
6,10000000110.9,10000000110.9,10000000110.9,10000000110.9,98.4506599035,10000000110.9,10000000098.5,108.508174738,94.0181662627,92.9754650023,112.363405589,71.3470882797,77.9813244968,64.740361601,63.834949842,54.1080690234,57.0371113184,93.8318404628,89.9264611873,82.9780001109,88.8116157732,97.2244228257,69.1731975768,60.893453106,60.3926539158,38.9127197091,48.8674083013,46.5056904206,52.6544017144,59.5328579966,63.8587553181,41.5914139561,21.2846275536,0.0,52.6544017144,0.0,76.5409529434,76.5409529434,81.902078913,58.8495627676
7,10000000076.1,10000000076.1,10000000076.1,10000000076.1,63.6997636299,10000000076.1,10000000063.7,73.7572784645,59.2672699892,58.2245687288,77.612509315,36.5961920062,43.2304282233,29.9894653274,29.0840535685,19.3571727499,22.2862150449,59.0809441893,55.1755649138,48.2271038373,54.0607194997,62.4735265521,34.4223013033,26.1425568325,25.6417576423,4.16182343557,18.3228574145,20.6133279708,43.7668134233,37.3081538383,43.1810106151,32.7038256649,13.4662687199,34.7508962735,43.7668134233,34.7508962735,67.6533646523,67.6533646523,61.22433421,24.0986664941
8,10000000061.2,10000000061.2,10000000061.2,10000000061.2,48.7748954678,10000000061.2,10000000048.8,58.8324103023,44.3424018271,43.2997005667,66.6804860412,21.6713238441,34.658966115,28.2780505228,29.1834622818,33.2255706986,20.5967725928,48.1489209154,44.2435416399,37.2950805635,43.1286962258,51.5415032783,23.4902780294,15.2105335587,14.7097343684,22.9806014541,21.8646379417,47.7557528604,53.5223135778,26.3761305645,39.6805323437,42.4593258194,40.6086936096,61.8933211632,53.5223135778,61.8933211632,77.4088648067,77.4088648067,53.2563107391,46.2470783335
9,10000000051.3,10000000051.3,10000000051.3,10000000051.3,38.8836429465,10000000051.3,10000000038.9,48.941157781,34.4511493057,33.4084480453,74.3875977074,11.7800713227,24.7677135937,18.3867980015,19.2922097604,29.019090579,28.3038842591,55.8560325817,51.9506533062,45.0021922297,50.8358078921,59.2486149445,31.1973896957,22.9176452249,22.4168460347,30.6877131203,29.571749608,55.4628645267,61.229425244,34.0832422307,47.3876440099,50.1664374856,48.3158052758,69.6004328294,61.229425244,69.6004328294,85.115976473,85.115976473,60.9634224053,53.9541899998
