,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0,44.969368419,0.0,76.5409529434,44.2980690472,34.427959824,76.5409529434,67.6533646523,77.4088648067,85.115976473,70.0253919286,69.3961837756,70.5355738818,87.0105374022,109.883690067,72.2261468531,69.5863921369,86.486893983,67.7391828729,79.3936081745,88.5788974767,92.5660004718,103.494350338,95.9626747962,96.8960477957,89.8237298778,119.209135355,119.567125779,10000000136.4,123.999619419,10000000124.0,10000000136.4,81.9746909301,60.4841657834,10000000136.4,10000000136.4,141.949004,96.7374182208,55.2563253898,79.8247505825
1,44.969368419,0.0,44.969368419,52.6544017144,20.4115178182,10.541408595,52.6544017144,43.7668134233,53.5223135778,61.229425244,46.1388406996,45.5096325466,46.6490226528,63.1239861732,85.9971388377,48.3395956242,45.6998409079,62.600342754,43.8526316439,55.5070569455,64.6923462477,68.6794492428,79.6077991086,72.0761235672,73.0094965667,65.9371786488,95.3225841264,95.6805745497,10000000112.5,100.11306819,10000000100.1,10000000112.5,58.0881397011,36.5976145545,10000000112.5,10000000112.5,118.062452771,72.8508669918,31.3697741608,55.9381993536
2,0.0,44.969368419,0.0,76.5409529434,44.2980690472,34.427959824,76.5409529434,67.6533646523,77.4088648067,85.115976473,70.0253919286,69.3961837756,70.5355738818,87.0105374022,109.883690067,72.2261468531,69.5863921369,86.486893983,67.7391828729,79.3936081745,88.5788974767,92.5660004718,103.494350338,95.9626747962,96.8960477957,89.8237298778,119.209135355,119.567125779,10000000136.4,123.999619419,10000000124.0,10000000136.4,81.9746909301,60.4841657834,10000000136.4,10000000136.4,141.949004,96.7374182208,55.2563253898,79.8247505825
3,76.5409529434,52.6544017144,76.5409529434,0.0,37.6212504835,42.1129931195,0.0,34.7508962735,61.8933211632,69.6004328294,63.3485733649,62.7193652119,63.8587553181,54.1080690234,77.9813244968,65.5493282895,62.74066237,57.0371113184,60.893453106,72.5478784076,81.902078913,85.7202707049,96.6486205707,89.1169450293,71.3470882797,82.9780001109,112.363405589,94.0181662627,10000000110.9,98.4506599035,10000000098.5,10000000110.9,66.4591472865,26.5124679472,10000000110.9,10000000110.9,116.400044484,63.834949842,21.2846275536,46.9222822038
4,44.2980690472,20.4115178182,44.2980690472,37.6212504835,0.0,9.87010922323,37.6212504835,23.3552956051,33.1107957595,40.8179074258,25.7273228813,25.0981147284,26.2375048346,42.712468355,65.5856210195,27.9280778059,25.2883230897,42.1888249357,23.4411138257,35.0955391273,44.2808284295,48.2679314246,59.1962812904,51.664605749,52.5979787485,45.5256608306,74.9110663082,75.2690567315,10000000092.1,79.7015503722,10000000079.7,10000000092.1,37.6766218829,16.3324803795,10000000092.1,10000000092.1,97.6509349532,52.4393491736,16.3366229299,35.5266815353
5,34.427959824,10.541408595,34.427959824,42.1129931195,9.87010922323,0.0,42.1129931195,33.2254048283,42.9809049828,50.688016649,35.5974321046,34.9682239517,36.1076140578,52.5825775782,75.4557302427,37.7981870292,35.1584323129,52.058934159,33.3112230489,44.9656483505,54.1509376527,58.1380406478,69.0663905136,61.5347149722,62.4680879717,55.3957700538,84.7811755315,85.1391659547,10000000102.0,89.5716595955,10000000089.6,10000000102.0,47.5467311061,26.0562059595,10000000102.0,10000000102.0,107.521044176,62.3094583968,20.8283655658,45.3967907586
6,76.5409529434,52.6544017144,76.5409529434,0.0,37.6212504835,42.1129931195,0.0,34.7508962735,61.8933211632,69.6004328294,63.3485733649,62.7193652119,63.8587553181,54.1080690234,77.9813244968,65.5493282895,62.74066237,57.0371113184,60.893453106,72.5478784076,81.902078913,85.7202707049,96.6486205707,89.1169450293,71.3470882797,82.9780001109,112.363405589,94.0181662627,10000000110.9,98.4506599035,10000000098.5,10000000110.9,66.4591472865,26.5124679472,10000000110.9,10000000110.9,116.400044484,63.834949842,21.2846275536,46.9222822038
7,67.6533646523,43.7668134233,67.6533646523,34.7508962735,23.3552956051,33.2254048283,34.7508962735,0.0,27.1424248896,34.8495365559,31.9634547631,40.4946610537,43.1810106151,19.3571727499,43.2304282233,31.2916835454,27.9897660965,22.2862150449,26.1425568325,37.7969821341,61.22433421,50.9693744313,61.8977242972,54.3660487558,36.5961920062,48.2271038373,77.612509315,59.2672699892,10000000076.1,63.6997636299,10000000063.7,10000000076.1,31.708251013,8.2384283263,10000000076.1,10000000076.1,81.6491482109,29.0840535685,13.4662687199,12.1713859303
8,77.4088648067,53.5223135778,77.4088648067,61.8933211632,33.1107957595,42.9809049828,61.8933211632,27.1424248896,0.0,9.89125252135,21.0314314893,29.5626377798,39.6805323437,33.2255706986,34.658966115,20.3596602716,17.0577428226,20.5967725928,15.2105335587,26.8649588602,53.2563107391,40.0373511575,50.9657010233,43.4340254819,21.6713238441,37.2950805635,66.6804860412,44.3424018271,10000000061.2,48.7748954678,10000000048.8,10000000061.2,6.74996697847,35.3808532159,10000000061.2,10000000061.2,66.7242800487,29.1834622818,40.6086936096,34.3197977697
9,85.115976473,61.229425244,85.115976473,69.6004328294,40.8179074258,50.688016649,69.6004328294,34.8495365559,9.89125252135,0.0,28.7385431555,37.2697494461,47.3876440099,29.019090579,24.7677135937,28.0667719378,24.7648544889,28.3038842591,22.9176452249,34.5720705265,60.9634224053,47.7444628237,58.6728126896,51.1411371481,11.7800713227,45.0021922297,74.3875977074,34.4511493057,10000000051.3,38.8836429465,10000000038.9,10000000051.3,14.36730797,43.0879648822,10000000051.3,10000000051.3,56.8330275274,19.2922097604,48.3158052758,42.0269094359
10,70.0253919286,46.1388406996,70.0253919286,63.3485733649,25.7273228813,35.5974321046,63.3485733649,31.9634547631,21.0314314893,28.7385431555,0.0,25.7138537766,35.8317483405,42.7382587713,53.5062567492,16.5108762684,13.2089588194,30.1094606655,11.3617495555,23.0161748571,49.4075267359,36.1885671543,47.1169170201,39.5852414787,40.5186144782,33.4462965603,62.831702038,63.1896924612,10000000080.0,67.622186102,10000000067.6,10000000080.0,25.5972576126,40.2018830894,10000000080.0,10000000080.0,85.5715706829,48.0307529159,42.0639458113,39.1408276432
11,69.3961837756,45.5096325466,69.3961837756,62.7193652119,25.0981147284,34.9682239517,62.7193652119,40.4946610537,29.5626377798,37.2697494461,25.7138537766,0.0,16.4909089946,51.2694650618,62.0374630398,9.20297750823,14.4249235269,38.640666956,14.9930375049,23.3947967037,30.0666873899,36.5671890009,47.4955388668,39.9638633254,49.0498207688,33.8249184069,63.2103238846,71.7208987518,10000000088.6,76.1533923925,10000000076.2,10000000088.6,34.1284639032,41.4305951079,10000000088.6,10000000088.6,94.1027769735,56.5619592065,41.4347376583,47.6720339337
12,70.5355738818,46.6490226528,70.5355738818,63.8587553181,26.2375048346,36.1076140578,63.8587553181,43.1810106151,39.6805323437,47.3876440099,35.8317483405,16.4909089946,0.0,57.5274405582,72.1553576036,19.3208720721,24.5428180907,48.7585615199,25.1109320688,33.5126912676,35.6736226956,46.6850835648,57.6134334306,50.0817578892,59.1677153326,43.9428129708,73.3282184485,81.8387933156,10000000098.7,86.2712869564,10000000086.3,10000000098.7,44.246358467,42.5699852141,10000000098.7,10000000098.7,104.220671537,66.6798537703,42.5741277645,50.3583834951
13,87.0105374022,63.1239861732,87.0105374022,54.1080690234,42.712468355,52.5825775782,54.1080690234,19.3571727499,33.2255706986,29.019090579,42.7382587713,51.2694650618,57.5274405582,0.0,23.8732554734,42.0664875536,38.7645701046,25.2202763194,36.9173608407,48.5717861422,74.963138021,61.7441784395,72.6725283053,65.1408527639,17.2390192563,59.0019078455,88.3873133232,39.9100972393,10000000056.8,44.34259088,10000000044.3,10000000056.8,37.791396822,27.5956010762,10000000056.8,10000000056.8,62.291975461,9.7268808186,32.8234414698,26.5345456299
14,109.883690067,85.9971388377,109.883690067,77.9813244968,65.5856210195,75.4557302427,77.9813244968,43.2304282233,34.658966115,24.7677135937,53.5062567492,62.0374630398,72.1553576036,23.8732554734,0.0,52.8344855315,49.5325680826,49.0935317928,47.6853588186,59.3397841202,85.731135999,72.5121764174,83.4405262832,75.9088507418,12.987642271,69.7699058234,99.1553113011,17.2314548522,10000000034.1,21.6639484929,10000000021.7,10000000034.1,39.1350215637,51.4688565496,10000000034.1,10000000034.1,39.6133330738,14.1463746548,56.6966969432,50.4078011033
15,72.2261468531,48.3395956242,72.2261468531,65.5493282895,27.9280778059,37.7981870292,65.5493282895,31.2916835454,20.3596602716,28.0667719378,16.5108762684,9.20297750823,19.3208720721,42.0664875536,52.8344855315,0.0,5.22194601865,29.4376894478,5.79005999671,14.1918191955,32.8966504675,27.3642114927,38.2925613585,30.7608858171,39.8468432606,24.6219408987,54.0073463764,62.5179212436,10000000079.4,66.9504148843,10000000067.0,10000000079.4,24.925486395,39.5301118717,10000000079.4,10000000079.4,84.8997994652,47.3589816982,44.2647007359,38.4690564255
16,69.5863921369,45.6998409079,69.5863921369,62.74066237,25.2883230897,35.1584323129,62.74066237,27.9897660965,17.0577428226,24.7648544889,13.2089588194,14.4249235269,24.5428180907,38.7645701046,49.5325680826,5.22194601865,0.0,26.1357719988,1.84720926397,9.80721603762,38.1185964861,22.9796083349,33.9079582007,26.3762826593,36.5449258116,20.2373377409,49.6227432185,59.2160037946,10000000076.1,63.6484974353,10000000063.6,10000000076.1,21.623568946,36.2281944228,10000000076.1,10000000076.1,81.5978820163,44.0570642493,41.4560348164,35.1671389765
17,86.486893983,62.600342754,86.486893983,57.0371113184,42.1888249357,52.058934159,57.0371113184,22.2862150449,20.5967725928,28.3038842591,30.1094606655,38.640666956,48.7585615199,25.2202763194,49.0935317928,29.4376894478,26.1357719988,0.0,24.2885627349,35.9429880365,62.3343399153,49.1153803337,60.0437301995,52.5120546581,40.0839555818,46.3731097397,75.7585152174,62.7550335648,10000000079.6,67.1875272055,10000000067.2,10000000079.6,25.1625987162,30.5246433712,10000000079.6,10000000079.6,85.1369117865,34.947157138,35.7524837648,29.4635879249
18,67.7391828729,43.8526316439,67.7391828729,60.893453106,23.4411138257,33.3112230489,60.893453106,26.1425568325,15.2105335587,22.9176452249,11.3617495555,14.9930375049,25.1109320688,36.9173608407,47.6853588186,5.79005999671,1.84720926397,24.2885627349,0.0,11.6544253016,38.6867104642,24.8268175988,35.7551674647,28.2234919233,34.6977165476,22.0845470048,51.4699524825,57.3687945306,10000000074.2,61.8012881714,10000000061.8,10000000074.2,19.776359682,34.3809851588,10000000074.2,10000000074.2,79.7506727523,42.2098549853,39.6088255524,33.3199297125
19,79.3936081745,55.5070569455,79.3936081745,72.5478784076,35.0955391273,44.9656483505,72.5478784076,37.7969821341,26.8649588602,34.5720705265,23.0161748571,23.3947967037,33.5126912676,48.5717861422,59.3397841202,14.1918191955,9.80721603762,35.9429880365,11.6544253016,0.0,47.0884696629,14.1258424707,25.0541923366,17.5225167951,46.3521418492,11.3835718767,40.7689773544,69.0232198322,10000000085.9,73.4557134729,10000000073.5,10000000085.9,31.4307849836,46.0354104604,10000000085.9,10000000085.9,91.4050980539,53.8642802869,51.263250854,44.9743550141
20,88.5788974767,64.6923462477,88.5788974767,81.902078913,44.2808284295,54.1509376527,81.902078913,61.22433421,53.2563107391,60.9634224053,49.4075267359,30.0666873899,35.6736226956,74.963138021,85.731135999,32.8966504675,38.1185964861,62.3343399153,38.6867104642,47.0884696629,0.0,60.2608619602,71.189211826,63.6575362846,72.743493728,57.5185913662,86.9039968438,95.414571711,10000000112.3,99.8470653517,10000000099.8,10000000112.3,57.8221368624,60.613308809,10000000112.3,10000000112.3,117.796449933,80.2556321657,60.6174513594,68.40170709
21,92.5660004718,68.6794492428,92.5660004718,85.7202707049,48.2679314246,58.1380406478,85.7202707049,50.9693744313,40.0373511575,47.7444628237,36.1885671543,36.5671890009,46.6850835648,61.7441784395,72.5121764174,27.3642114927,22.9796083349,49.1153803337,24.8268175988,14.1258424707,60.2608619602,0.0,17.2916617423,9.75998620089,59.5245341464,3.62104128248,33.0064467602,82.1956121294,10000000099.1,86.6281057702,10000000086.6,10000000099.1,44.6031772809,59.2078027576,10000000099.1,10000000099.1,104.577490351,67.0366725841,64.4356431513,58.1467473114
