,Landslide_mean,rawmean,normed
191,1.0,1.0,0.2
192,1.0,1.0,0.2
193,1.0,1.0,0.2
194,1.0,1.0,0.2
195,1.5,1.5,0.3
196,1.0,1.0,0.2
197,1.0,1.0,0.2
198,1.0,1.0,0.2
199,1.0,1.0,0.2
200,1.0,1.0,0.2
201,1.0,1.0,0.2
202,1.0,1.0,0.2
203,1.0,1.0,0.2
204,1.33333333333,1.33333333333,0.266666666667
205,1.0,1.0,0.2
206,1.33333333333,1.33333333333,0.266666666667
207,1.5,1.5,0.3
208,2.0,2.0,0.4
209,1.0,1.0,0.2
210,1.14285714286,1.14285714286,0.228571428571
211,1.0,1.0,0.2
212,2.0,2.0,0.4
213,2.0,2.0,0.4
214,2.0,2.0,0.4
215,1.0,1.0,0.2
216,1.0,1.0,0.2
217,1.0,1.0,0.2
218,1.0,1.0,0.2
219,1.8,1.8,0.36
220,3.0,3.0,0.6
221,2.33333333333,2.33333333333,0.466666666667
222,1.0,1.0,0.2
223,1.5,1.5,0.3
224,2.0,2.0,0.4
225,1.0,1.0,0.2
226,1.0,1.0,0.2
227,2.25,2.25,0.45
228,1.0,1.0,0.2
229,2.8,2.8,0.56
230,1.5,1.5,0.3
231,4.0,4.0,0.8
232,1.0,1.0,0.2
233,2.0,2.0,0.4
234,4.0,4.0,0.8
235,4.0,4.0,0.8
236,1.5,1.5,0.3
237,1.0,1.0,0.2
238,1.0,1.0,0.2
239,1.0,1.0,0.2
