,Extreme Heat - 20 year return period_mean,rawmean,normed
0,34.0489997864,34.0489997864,0.966236746243
1,34.0929985046,34.0929985046,0.969575040419
2,34.0929985046,34.0929985046,0.969575040419
3,34.0929985046,34.0929985046,0.969575040419
4,34.0929985046,34.0929985046,0.969575040419
5,34.0929985046,34.0929985046,0.969575040419
6,33.9899978638,33.9899978638,0.961760120959
7,34.0929985046,34.0929985046,0.969575040419
8,34.0929985046,34.0929985046,0.969575040419
9,34.0929985046,34.0929985046,0.969575040419
10,34.0929985046,34.0929985046,0.969575040419
11,34.0929985046,34.0929985046,0.969575040419
12,34.0929985046,34.0929985046,0.969575040419
13,34.0929985046,34.0929985046,0.969575040419
14,34.0929985046,34.0929985046,0.969575040419
15,34.0929985046,34.0929985046,0.969575040419
16,34.0929985046,34.0929985046,0.969575040419
17,34.0929985046,34.0929985046,0.969575040419
18,34.0929985046,34.0929985046,0.969575040419
19,34.0929985046,34.0929985046,0.969575040419
20,34.0929985046,34.0929985046,0.969575040419
21,34.0929985046,34.0929985046,0.969575040419
22,34.0929985046,34.0929985046,0.969575040419
23,34.0929985046,34.0929985046,0.969575040419
24,34.0929985046,34.0929985046,0.969575040419
25,34.0929985046,34.0929985046,0.969575040419
26,34.0929985046,34.0929985046,0.969575040419
27,34.0929985046,34.0929985046,0.969575040419
28,34.0929985046,34.0929985046,0.969575040419
29,34.0929985046,34.0929985046,0.969575040419
30,34.0929985046,34.0929985046,0.969575040419
31,34.0929985046,34.0929985046,0.969575040419
32,34.0929985046,34.0929985046,0.969575040419
33,34.0929985046,34.0929985046,0.969575040419
34,34.0929985046,34.0929985046,0.969575040419
35,34.0929985046,34.0929985046,0.969575040419
36,34.0929985046,34.0929985046,0.969575040419
37,33.9899978638,33.9899978638,0.961760120959
38,34.0929985046,34.0929985046,0.969575040419
39,34.0550003052,34.0550003052,0.9666920208
40,34.0929985046,34.0929985046,0.969575040419
41,34.0929985046,34.0929985046,0.969575040419
42,34.091999054,34.091999054,0.969499209565
43,34.0929985046,34.0929985046,0.969575040419
44,34.0929985046,34.0929985046,0.969575040419
45,34.0550003052,34.0550003052,0.9666920208
46,34.0929985046,34.0929985046,0.969575040419
47,34.0929985046,34.0929985046,0.969575040419
48,34.0550003052,34.0550003052,0.9666920208
49,34.0929985046,34.0929985046,0.969575040419
50,34.0909996033,34.0909996033,0.96942337871
51,34.0909996033,34.0909996033,0.96942337871
52,34.0469970703,34.0469970703,0.966084795103
53,34.0929985046,34.0929985046,0.969575040419
54,34.0550003052,34.0550003052,0.9666920208
55,34.0909996033,34.0909996033,0.96942337871
56,34.0929985046,34.0929985046,0.969575040419
57,34.0550003052,34.0550003052,0.9666920208
58,34.0550003052,34.0550003052,0.9666920208
59,34.0929985046,34.0929985046,0.969575040419
60,34.0929985046,34.0929985046,0.969575040419
61,34.0929985046,34.0929985046,0.969575040419
62,34.0929985046,34.0929985046,0.969575040419
63,34.0929985046,34.0929985046,0.969575040419
64,34.0550003052,34.0550003052,0.9666920208
65,34.0550003052,34.0550003052,0.9666920208
66,34.0909996033,34.0909996033,0.96942337871
67,34.0929985046,34.0929985046,0.969575040419
68,34.0623321533,34.0623321533,0.967248306685
69,34.0550003052,34.0550003052,0.9666920208
70,34.0469970703,34.0469970703,0.966084795103
71,34.0550003052,34.0550003052,0.9666920208
72,34.0550003052,34.0550003052,0.9666920208
73,34.016998291,34.016998291,0.96380871175
74,34.0029983521,34.0029983521,0.962746500927
75,34.0029983521,34.0029983521,0.962746500927
76,34.016998291,34.016998291,0.96380871175
77,34.016998291,34.016998291,0.96380871175
78,34.016998291,34.016998291,0.96380871175
79,34.016998291,34.016998291,0.96380871175
80,34.0099983215,34.0099983215,0.963277606338
81,34.016998291,34.016998291,0.96380871175
82,34.016998291,34.016998291,0.96380871175
83,34.016998291,34.016998291,0.96380871175
84,34.016998291,34.016998291,0.96380871175
85,34.016998291,34.016998291,0.96380871175
86,34.016998291,34.016998291,0.96380871175
87,34.0029983521,34.0029983521,0.962746500927
88,34.0029983521,34.0029983521,0.962746500927
89,34.016998291,34.016998291,0.96380871175
90,34.016998291,34.016998291,0.96380871175
91,34.016998291,34.016998291,0.96380871175
92,34.016998291,34.016998291,0.96380871175
93,34.016998291,34.016998291,0.96380871175
94,34.016998291,34.016998291,0.96380871175
95,34.016998291,34.016998291,0.96380871175
96,34.016998291,34.016998291,0.96380871175
97,34.016998291,34.016998291,0.96380871175
98,34.016998291,34.016998291,0.96380871175
99,34.0029983521,34.0029983521,0.962746500927
100,34.016998291,34.016998291,0.96380871175
101,34.016998291,34.016998291,0.96380871175
102,34.0029983521,34.0029983521,0.962746500927
103,34.016998291,34.016998291,0.96380871175
104,34.0029983521,34.0029983521,0.962746500927
105,34.016998291,34.016998291,0.96380871175
106,34.016998291,34.016998291,0.96380871175
107,34.0029983521,34.0029983521,0.962746500927
108,34.016998291,34.016998291,0.96380871175
109,34.0029983521,34.0029983521,0.962746500927
110,34.0029983521,34.0029983521,0.962746500927
111,34.0029983521,34.0029983521,0.962746500927
112,34.0099983215,34.0099983215,0.963277606338
113,34.0029983521,34.0029983521,0.962746500927
114,34.016998291,34.016998291,0.96380871175
115,34.016998291,34.016998291,0.96380871175
116,34.016998291,34.016998291,0.96380871175
117,34.016998291,34.016998291,0.96380871175
118,34.0029983521,34.0029983521,0.962746500927
119,34.0029983521,34.0029983521,0.962746500927
120,34.0029983521,34.0029983521,0.962746500927
121,34.0029983521,34.0029983521,0.962746500927
122,34.0029983521,34.0029983521,0.962746500927
