,ID,Social_Cost_2,Isolated_Trips_2,CRIT_SCORE_2
172,187.0,514792.415585,0.0,0.00197821567784
173,188.0,60510000.0,121020.0,0.290655580391
174,189.0,0.0,0.0,0.0
175,190.0,87048788.2692,174097.576538,0.418132805763
176,191.0,0.0,0.0,0.0
177,192.0,87048788.2692,174097.576538,0.418132805763
178,193.0,138631.416134,0.0,0.000532725099545
179,196.0,12081.9598142,0.0,4.64278835506e-05
180,195.0,53350000.0,106700.0,0.256263017912
181,198.0,117141.881415,0.0,0.000450146310109
182,199.0,591951.999959,0.0,0.00227472023946
183,204.0,131773.064933,0.0,0.000506370208797
184,205.0,104965481.382,209930.962765,0.50419439617
185,200.0,150859.627006,0.0,0.000579714988532
186,207.0,150859.627006,0.0,0.000579714988532
187,201.0,150859.627006,0.0,0.000579714988532
188,206.0,0.0,0.0,0.0
189,202.0,0.0,0.0,0.0
190,203.0,0.0,0.0,0.0
191,217.0,71250000.0,142500.0,0.342244424109
192,218.0,0.0,0.0,0.0
193,214.0,64940000.0,129880.0,0.311934777567
194,213.0,150859.627006,0.0,0.000579714988532
195,209.0,104965481.382,209930.962765,0.50419439617
196,211.0,72231.2408031,0.0,0.000277566196899
197,210.0,208372.857361,0.0,0.000800723633038
198,212.0,0.0,0.0,0.0
199,216.0,94020435.7034,188040.871407,0.45162062978
200,215.0,85898876.0917,171797.752183,0.412609282521
201,219.0,81005327.3756,162010.654751,0.389103461298
202,220.0,0.0,0.0,0.0
203,221.0,81005327.3756,162010.654751,0.389103461298
204,222.0,0.0,0.0,0.0
205,223.0,0.0,0.0,0.0
206,224.0,81005327.3756,162010.654751,0.389103461298
207,230.0,0.0,0.0,0.0
208,229.0,464465.667269,0.0,0.00178482284702
209,226.0,1206422.1171,0.0,0.00463597184787
210,227.0,73786376.255,147572.75251,0.354427731207
211,234.0,464465.667269,0.0,0.00178482284702
212,231.0,0.0,0.0,0.0
213,235.0,464465.667269,0.0,0.00178482284702
214,232.0,0.0,0.0,0.0
215,233.0,0.0,0.0,0.0
216,236.0,0.0,0.0,0.0
