,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,26.0804116936,16.2753256554,14.0045349782,68.0238225406,15.2749685866,17.8561231133,23.6998817406,3.16348698247,8.53867787267,48.722433692,40.990856854,13.5385870049,10000000031.6,24.9539260579,5.55862425606,19.2834319215,14.075347546,0.0,24.4395173088,10000000044.7,16.697204806,62.3668971816,31.1732892706,33.9887345208,40.3402039024,34.3920264699,42.0033183498,40.3402039024,7.7411179413,16.9386275669,11.2343815459,10.2764336455,26.1187336441,10000000026.6
1,18.6325764708,5.2430181474,20.9276129209,80.3383078298,27.5894538757,17.9383392565,16.1591849703,19.8606917884,20.8531631618,61.0369189811,36.1773991148,25.853072294,10000000022.4,23.134142933,22.255829062,19.4044975297,12.3882737441,16.697204806,36.754002598,10000000035.6,0.0,74.6813824707,24.6089890201,26.540899298,35.4808323808,29.5785687306,54.317803639,35.4808323808,8.95608686466,29.253112856,18.1574594886,10.3586497887,16.9859543955,10000000017.5
2,53.8998413794,53.8959244884,37.3615774069,26.0205041908,36.609494759,45.6755527992,51.5193114264,45.1668053323,33.4646404771,6.71911534217,68.8102865399,34.8731131773,10000000065.1,52.7733557438,36.4446940938,44.2093945259,48.095612073,42.0033183498,17.563801041,10000000078.2,54.317803639,20.3635788318,58.9927189564,61.8081642067,68.1596335882,62.2114561557,0.0,68.1596335882,47.3565097986,28.1683436745,36.1603441504,44.2966981726,59.6338509898,10000000060.1
3,36.6553566719,36.6514397809,20.1170926993,44.6443086573,19.3650100515,28.4310680917,34.2748267189,27.9223206248,16.2201557696,25.3429198087,51.5658018324,17.6286284698,10000000047.8,35.5288710362,19.2002093862,26.9649098184,30.8511273655,24.7588336423,1.06000342548,10000000061.0,37.0733189315,38.9873832982,41.7482342489,44.5636794992,50.9151488807,44.9669714482,18.6238044665,50.9151488807,30.1120250911,10.923858967,18.9158594429,27.0522134651,42.3893662823,10000000042.9
4,26.289901533,27.1675747252,8.02443994684,62.6299989498,0.0,18.0656129527,23.90937158,18.438455569,6.73629071388,43.3286101012,41.2003466934,1.73638158166,10000000037.5,25.1634158973,9.71634433049,16.5994546795,21.3672623098,15.2749685866,19.045693718,10000000050.6,27.5894538757,56.9730735907,31.38277911,34.1982243602,40.5496937418,34.6015163093,36.609494759,40.5496937418,20.6281600354,11.5448039761,9.43199438711,17.5683484093,32.0239111433,10000000032.5
5,20.4439748076,20.4400579166,5.47463101086,59.4763707627,6.72751680856,12.2196862274,18.0634448546,11.7109387605,0.0087739053217,40.174981914,35.3544199681,4.99113522689,10000000031.6,19.3174891719,2.98882752193,10.7535279541,14.6397455012,8.54745177799,15.8920655308,10000000044.8,20.8619370672,53.8194454036,25.5368523846,28.3522976349,34.7037670164,28.7555895839,33.4558665718,34.7037670164,13.9006432268,8.3911757889,2.70447757855,10.8408316007,26.1779844179,10000000026.7
6,13.3135904024,22.3089234845,6.42908981814,66.8327670097,13.2023229724,5.08930182212,10.9330604494,19.0497871969,7.34762234174,47.5313781611,28.2240355628,11.4659413908,10000000024.5,12.1871047667,10.3276759584,3.62314354888,16.4679051904,15.8863002144,23.2484617779,10000000037.6,22.8093781571,61.1758416506,18.4064679794,21.2219132296,27.5733826112,21.6252051786,40.8122628189,27.5733826112,15.8480843168,15.747572036,4.65191866851,12.6689912899,19.0476000127,10000000019.5
7,29.2540687923,29.2501519013,11.2473757869,57.2106615328,10.495293139,21.029780212,26.8735388393,20.5210327451,8.81886788999,37.9092726841,44.1645139527,8.75891155735,10000000040.4,28.1275831566,11.7989215066,19.5636219388,23.4498394859,17.3575457627,13.626356301,10000000053.6,29.6720310518,51.5537361737,34.3469463693,37.1623916195,43.5138610011,37.5656835685,31.190157342,43.5138610011,22.7107372115,5.4581951685,11.5145715632,19.6509255854,34.9880784026,10000000035.5
8,17.7394972291,17.735580338,2.77015343231,62.1808483412,9.43199438711,9.5152086488,15.3589672761,14.3978685284,2.69570367323,42.8794594925,32.6499423895,7.69561280545,10000000028.9,16.6130115934,5.67575728984,8.04905037557,11.9352679227,11.2343815459,18.5965431094,10000000042.1,18.1574594886,56.5239229821,22.832374806,25.6478200563,31.9992894379,26.0511120053,36.1603441504,31.9992894379,11.1961656482,11.0956533674,0.0,8.13635402219,23.4735068394,10000000024.0
9,24.4843464044,25.3620195966,6.21888481828,59.4425009123,5.4668021704,16.2600578242,22.1038164514,16.6329004405,4.93073558532,40.1411120637,39.3947915649,3.73042058874,10000000035.7,23.3578607687,7.91078920193,14.7938995509,19.5617071812,13.469413458,15.8581956805,10000000048.8,25.7838987472,53.7855755532,29.5772239814,32.3926692317,38.7441386132,32.7959611807,33.4219967215,38.7441386132,18.8226049068,8.35730593856,7.62643925855,15.7627932807,30.2183560148,10000000030.7
