,Typhoon - 200 year return period_mean,rawmean,normed
0,55.9667788628,55.9667788628,0.429669091032
1,55.9872870407,55.9872870407,0.43038215891
2,55.9820418709,55.9820418709,0.430199784733
3,55.9897393442,55.9897393442,0.430467425326
4,55.9824288566,55.9824288566,0.430213240197
5,55.9665684897,55.9665684897,0.429661776374
6,55.9923097546,55.9923097546,0.430556798315
7,55.994736314,55.994736314,0.430641169612
8,55.9705303368,55.9705303368,0.429799529513
9,55.9966021526,55.9966021526,0.430706044687
10,55.9727533513,55.9727533513,0.429876823569
11,55.9784278627,55.9784278627,0.430074125923
12,55.9777384976,55.9777384976,0.430050156748
13,55.983416758,55.983416758,0.430247589456
14,55.9818259162,55.9818259162,0.430192276001
15,55.9875041766,55.9875041766,0.430389708709
16,55.9906932129,55.9906932129,0.430500591275
17,55.9880710345,55.9880710345,0.430409418321
18,55.9766830188,55.9766830188,0.430013457826
19,55.9776654356,55.9776654356,0.430047616391
20,55.9857908277,55.9857908277,0.43033013569
21,55.9831802604,55.9831802604,0.430239366452
22,55.9831802604,55.9831802604,0.430239366452
23,55.980758499,55.980758499,0.430155161983
24,55.9806126863,55.9806126863,0.430150092084
25,55.9806126863,55.9806126863,0.430150092084
26,55.9806126863,55.9806126863,0.430150092084
27,55.9809043118,55.9809043118,0.430160231883
28,55.9806126863,55.9806126863,0.430150092084
29,55.9835599369,55.9835599369,0.430252567777
30,55.9820422861,55.9820422861,0.430199799167
31,55.980758499,55.980758499,0.430155161983
32,55.980758499,55.980758499,0.430155161983
33,55.9831802604,55.9831802604,0.430239366452
34,55.9820422861,55.9820422861,0.430199799167
35,55.9831802604,55.9831802604,0.430239366452
36,55.9883306595,55.9883306595,0.430418445462
37,55.9878134308,55.9878134308,0.430400461458
38,55.9871916161,55.9871916161,0.430378841006
39,55.9884706526,55.9884706526,0.430423313013
40,55.9871515777,55.9871515777,0.430377448872
41,55.9924016887,55.9924016887,0.430559994857
42,55.9894544381,55.9894544381,0.430457519164
43,55.9893978983,55.9893978983,0.43045555328
44,55.9854005392,55.9854005392,0.430316565389
45,55.9874240853,55.9874240853,0.430386923942
46,55.9853069418,55.9853069418,0.430313311014
47,55.9924016887,55.9924016887,0.430559994857
48,55.9836183877,55.9836183877,0.430254600109
49,55.9923153913,55.9923153913,0.430556994301
50,55.9953489393,55.9953489393,0.43066247055
51,55.9943665225,55.9943665225,0.430628311986
52,55.9967572903,55.9967572903,0.430711438812
53,55.9953489393,55.9953489393,0.43066247055
54,55.9831962492,55.9831962492,0.430239922383
55,55.9964827656,55.9964827656,0.430701893608
56,55.9950602894,55.9950602894,0.430652434211
57,55.9910552173,55.9910552173,0.430513178141
58,55.9961389229,55.9961389229,0.430689938222
59,55.99829619,55.99829619,0.430764946244
60,55.99829619,55.99829619,0.430764946244
61,55.99829619,55.99829619,0.430764946244
62,55.99829619,55.99829619,0.430764946244
63,55.9963122541,55.9963122541,0.430695964937
64,55.9977495646,55.9977495646,0.43074594012
65,55.99829619,55.99829619,0.430764946244
66,55.99829619,55.99829619,0.430764946244
67,55.9947330234,55.9947330234,0.430641055197
68,55.9959383895,55.9959383895,0.430682965689
69,55.9947330234,55.9947330234,0.430641055197
70,55.9984125799,55.9984125799,0.430768993113
71,55.99829619,55.99829619,0.430764946244
72,55.99829619,55.99829619,0.430764946244
73,55.9981656413,55.9981656413,0.430760407075
74,55.99829619,55.99829619,0.430764946244
75,55.9965118897,55.9965118897,0.430702906251
76,55.99829619,55.99829619,0.430764946244
77,55.99829619,55.99829619,0.430764946244
78,55.99829619,55.99829619,0.430764946244
79,55.9924144391,55.9924144391,0.430560438186
80,55.99829619,55.99829619,0.430764946244
81,55.9981656413,55.9981656413,0.430760407075
82,55.99829619,55.99829619,0.430764946244
83,55.99829619,55.99829619,0.430764946244
84,55.99829619,55.99829619,0.430764946244
85,55.9912551469,55.9912551469,0.430520129681
86,55.9912551469,55.9912551469,0.430520129681
87,55.9983007496,55.9983007496,0.430765104781
88,55.9989509847,55.9989509847,0.43078771341
89,55.9981656413,55.9981656413,0.430760407075
90,55.9842638194,55.9842638194,0.430277041723
91,55.9980350926,55.9980350926,0.430755867906
92,55.9980350926,55.9980350926,0.430755867906
93,55.9980350926,55.9980350926,0.430755867906
94,55.9948581381,55.9948581381,0.430645405428
95,55.9942716882,55.9942716882,0.430625014604
96,55.9976076444,55.9976076444,0.430741005564
97,55.9909357319,55.9909357319,0.430509023644
98,55.9942716882,55.9942716882,0.430625014604
99,55.9961329881,55.9961329881,0.430689731869
100,55.9976076444,55.9976076444,0.430741005564
101,55.9976076444,55.9976076444,0.430741005564
102,55.9948581381,55.9948581381,0.430645405428
103,55.9976076444,55.9976076444,0.430741005564
104,55.9999857979,55.9999857979,0.430823693792
105,55.9976076444,55.9976076444,0.430741005564
106,55.9935756841,55.9935756841,0.430600814592
107,55.9969420937,55.9969420937,0.430717864415
108,55.9945229343,55.9945229343,0.430633750413
109,55.9916811837,55.9916811837,0.43053494295
110,55.9916811837,55.9916811837,0.43053494295
111,55.9916811837,55.9916811837,0.43053494295
112,55.9916811837,55.9916811837,0.43053494295
113,55.9916811837,55.9916811837,0.43053494295
114,55.9916811837,55.9916811837,0.43053494295
115,55.9916811837,55.9916811837,0.43053494295
116,55.9915597039,55.9915597039,0.430530719106
