,Extreme Heat - 5 year return period_mean,rawmean,normed
0,33.6190032959,33.6190032959,0.966661745294
1,33.6780014038,33.6780014038,0.971183365956
2,33.6780014038,33.6780014038,0.971183365956
3,33.6780014038,33.6780014038,0.971183365956
4,33.6780014038,33.6780014038,0.971183365956
5,33.6780014038,33.6780014038,0.971183365956
6,33.5685005188,33.5685005188,0.962791207602
7,33.6780014038,33.6780014038,0.971183365956
8,33.6780014038,33.6780014038,0.971183365956
9,33.6780014038,33.6780014038,0.971183365956
10,33.6780014038,33.6780014038,0.971183365956
11,33.6780014038,33.6780014038,0.971183365956
12,33.6780014038,33.6780014038,0.971183365956
13,33.6780014038,33.6780014038,0.971183365956
14,33.6780014038,33.6780014038,0.971183365956
15,33.6780014038,33.6780014038,0.971183365956
16,33.6780014038,33.6780014038,0.971183365956
17,33.6780014038,33.6780014038,0.971183365956
18,33.6780014038,33.6780014038,0.971183365956
19,33.6780014038,33.6780014038,0.971183365956
20,33.6780014038,33.6780014038,0.971183365956
21,33.6780014038,33.6780014038,0.971183365956
22,33.6780014038,33.6780014038,0.971183365956
23,33.6780014038,33.6780014038,0.971183365956
24,33.6780014038,33.6780014038,0.971183365956
25,33.6780014038,33.6780014038,0.971183365956
26,33.6780014038,33.6780014038,0.971183365956
27,33.6780014038,33.6780014038,0.971183365956
28,33.6780014038,33.6780014038,0.971183365956
29,33.6780014038,33.6780014038,0.971183365956
30,33.6780014038,33.6780014038,0.971183365956
31,33.6780014038,33.6780014038,0.971183365956
32,33.6780014038,33.6780014038,0.971183365956
33,33.6780014038,33.6780014038,0.971183365956
34,33.6780014038,33.6780014038,0.971183365956
35,33.6780014038,33.6780014038,0.971183365956
36,33.6780014038,33.6780014038,0.971183365956
37,33.5685005188,33.5685005188,0.962791207602
38,33.6780014038,33.6780014038,0.971183365956
39,33.6575012207,33.6575012207,0.969612229952
40,33.6780014038,33.6780014038,0.971183365956
41,33.6780014038,33.6780014038,0.971183365956
42,33.6845016479,33.6845016479,0.971681545291
43,33.6780014038,33.6780014038,0.971183365956
44,33.6780014038,33.6780014038,0.971183365956
45,33.6575012207,33.6575012207,0.969612229952
46,33.6780014038,33.6780014038,0.971183365956
47,33.6780014038,33.6780014038,0.971183365956
48,33.6575012207,33.6575012207,0.969612229952
49,33.6780014038,33.6780014038,0.971183365956
50,33.6910018921,33.6910018921,0.972179724627
51,33.6910018921,33.6910018921,0.972179724627
52,33.6585006714,33.6585006714,0.969688827948
53,33.6780014038,33.6780014038,0.971183365956
54,33.6575012207,33.6575012207,0.969612229952
55,33.6910018921,33.6910018921,0.972179724627
56,33.6780014038,33.6780014038,0.971183365956
57,33.6575012207,33.6575012207,0.969612229952
58,33.6575012207,33.6575012207,0.969612229952
59,33.6780014038,33.6780014038,0.971183365956
60,33.6780014038,33.6780014038,0.971183365956
61,33.6780014038,33.6780014038,0.971183365956
62,33.6780014038,33.6780014038,0.971183365956
63,33.6780014038,33.6780014038,0.971183365956
64,33.6575012207,33.6575012207,0.969612229952
65,33.6575012207,33.6575012207,0.969612229952
66,33.6910018921,33.6910018921,0.972179724627
67,33.6780014038,33.6780014038,0.971183365956
68,33.6650009155,33.6650009155,0.970187007284
69,33.6575012207,33.6575012207,0.969612229952
70,33.6585006714,33.6585006714,0.969688827948
71,33.6575012207,33.6575012207,0.969612229952
72,33.6575012207,33.6575012207,0.969612229952
73,33.6370010376,33.6370010376,0.968041093948
74,33.6259994507,33.6259994507,0.967197931269
75,33.6259994507,33.6259994507,0.967197931269
76,33.6370010376,33.6370010376,0.968041093948
77,33.6370010376,33.6370010376,0.968041093948
78,33.6370010376,33.6370010376,0.968041093948
79,33.6370010376,33.6370010376,0.968041093948
80,33.6315002441,33.6315002441,0.967619512609
81,33.6370010376,33.6370010376,0.968041093948
82,33.6370010376,33.6370010376,0.968041093948
83,33.6370010376,33.6370010376,0.968041093948
84,33.6370010376,33.6370010376,0.968041093948
85,33.6370010376,33.6370010376,0.968041093948
86,33.6370010376,33.6370010376,0.968041093948
87,33.6259994507,33.6259994507,0.967197931269
88,33.6259994507,33.6259994507,0.967197931269
89,33.6370010376,33.6370010376,0.968041093948
90,33.6370010376,33.6370010376,0.968041093948
91,33.6370010376,33.6370010376,0.968041093948
92,33.6370010376,33.6370010376,0.968041093948
93,33.6370010376,33.6370010376,0.968041093948
94,33.6370010376,33.6370010376,0.968041093948
95,33.6370010376,33.6370010376,0.968041093948
96,33.6370010376,33.6370010376,0.968041093948
97,33.6370010376,33.6370010376,0.968041093948
98,33.6370010376,33.6370010376,0.968041093948
99,33.6259994507,33.6259994507,0.967197931269
100,33.6370010376,33.6370010376,0.968041093948
101,33.6370010376,33.6370010376,0.968041093948
102,33.6259994507,33.6259994507,0.967197931269
103,33.6370010376,33.6370010376,0.968041093948
104,33.6259994507,33.6259994507,0.967197931269
105,33.6370010376,33.6370010376,0.968041093948
106,33.6370010376,33.6370010376,0.968041093948
107,33.6259994507,33.6259994507,0.967197931269
108,33.6370010376,33.6370010376,0.968041093948
109,33.6259994507,33.6259994507,0.967197931269
110,33.6259994507,33.6259994507,0.967197931269
111,33.6259994507,33.6259994507,0.967197931269
112,33.6315002441,33.6315002441,0.967619512609
113,33.6259994507,33.6259994507,0.967197931269
114,33.6370010376,33.6370010376,0.968041093948
115,33.6370010376,33.6370010376,0.968041093948
116,33.6370010376,33.6370010376,0.968041093948
117,33.6370010376,33.6370010376,0.968041093948
118,33.6259994507,33.6259994507,0.967197931269
119,33.6259994507,33.6259994507,0.967197931269
