,Typhoon - 100 year return period_mean,rawmean,normed
0,53.5356716616,53.5356716616,1
1,53.5587683247,53.5587683247,1
2,53.5523453456,53.5523453456,1
3,53.5603068073,53.5603068073,1
4,53.5523265884,53.5523265884,1
5,53.5350553704,53.5350553704,1
6,53.5640181001,53.5640181001,1
7,53.5659696293,53.5659696293,1
8,53.5393358331,53.5393358331,1
9,53.5676962475,53.5676962475,1
10,53.5418749641,53.5418749641,1
11,53.5477554785,53.5477554785,1
12,53.5472934896,53.5472934896,1
13,53.5536412877,53.5536412877,1
14,53.5518135497,53.5518135497,1
15,53.5581613477,53.5581613477,1
16,53.562947421,53.562947421,1
17,53.5591096533,53.5591096533,1
18,53.5461690279,53.5461690279,1
19,53.5472425438,53.5472425438,1
20,53.5568199264,53.5568199264,1
21,53.5536115908,53.5536115908,1
22,53.5536115908,53.5536115908,1
23,53.5506418952,53.5506418952,1
24,53.5504630917,53.5504630917,1
25,53.5504630917,53.5504630917,1
26,53.5504630917,53.5504630917,1
27,53.5508206988,53.5508206988,1
28,53.5504630917,53.5504630917,1
29,53.5536836395,53.5536836395,1
30,53.5522161448,53.5522161448,1
31,53.5506418952,53.5506418952,1
32,53.5506418952,53.5506418952,1
33,53.5536115908,53.5536115908,1
34,53.5522161448,53.5522161448,1
35,53.5536115908,53.5536115908,1
36,53.5593914057,53.5593914057,1
37,53.5624236928,53.5624236928,1
38,53.5611356958,53.5611356958,1
39,53.5621549187,53.5621549187,1
40,53.5616278131,53.5616278131,1
41,53.563345283,53.563345283,1
42,53.5601247352,53.5601247352,1
43,53.5601499954,53.5601499954,1
44,53.5600861398,53.5600861398,1
45,53.5616677352,53.5616677352,1
46,53.5602497381,53.5602497381,1
47,53.563345283,53.563345283,1
48,53.5589366807,53.5589366807,1
49,53.563302522,53.563302522,1
50,53.5665658308,53.5665658308,1
51,53.5654923149,53.5654923149,1
52,53.5683347757,53.5683347757,1
53,53.5665658308,53.5665658308,1
54,53.5586084164,53.5586084164,1
55,53.5675546107,53.5675546107,1
56,53.5663695265,53.5663695265,1
57,53.5631157549,53.5631157549,1
58,53.5675084773,53.5675084773,1
59,53.5697863787,53.5697863787,1
60,53.5697863787,53.5697863787,1
61,53.5697863787,53.5697863787,1
62,53.5697863787,53.5697863787,1
63,53.5682809862,53.5682809862,1
64,53.5697852583,53.5697852583,1
65,53.5697863787,53.5697863787,1
66,53.5697863787,53.5697863787,1
67,53.5670826802,53.5670826802,1
68,53.5672099404,53.5672099404,1
69,53.5670826802,53.5670826802,1
70,53.5698658953,53.5698658953,1
71,53.5697863787,53.5697863787,1
72,53.5697863787,53.5697863787,1
73,53.5701037206,53.5701037206,1
74,53.5697863787,53.5697863787,1
75,53.568984266,53.568984266,1
76,53.5697863787,53.5697863787,1
77,53.5697863787,53.5697863787,1
78,53.5697863787,53.5697863787,1
79,53.5655705423,53.5655705423,1
80,53.5697863787,53.5697863787,1
81,53.5701037206,53.5701037206,1
82,53.5697863787,53.5697863787,1
83,53.5697863787,53.5697863787,1
84,53.5697863787,53.5697863787,1
85,53.5648144734,53.5648144734,1
86,53.5648144734,53.5648144734,1
87,53.5703418037,53.5703418037,1
88,53.5708521214,53.5708521214,1
89,53.5701037206,53.5701037206,1
90,53.5597945323,53.5597945323,1
91,53.5704210626,53.5704210626,1
92,53.5704210626,53.5704210626,1
93,53.5704210626,53.5704210626,1
94,53.5678648114,53.5678648114,1
95,53.5675170514,53.5675170514,1
96,53.5700912245,53.5700912245,1
97,53.5649428784,53.5649428784,1
98,53.5675170514,53.5675170514,1
99,53.5688992945,53.5688992945,1
100,53.5700912245,53.5700912245,1
101,53.5700912245,53.5700912245,1
102,53.5678648114,53.5678648114,1
103,53.5700912245,53.5700912245,1
104,53.5719520155,53.5719520155,1
105,53.5700912245,53.5700912245,1
106,53.5668508468,53.5668508468,1
107,53.569625689,53.569625689,1
108,53.5676219901,53.5676219901,1
109,53.5653085603,53.5653085603,1
110,53.5653085603,53.5653085603,1
111,53.5653085603,53.5653085603,1
112,53.5653085603,53.5653085603,1
113,53.5653085603,53.5653085603,1
114,53.5653085603,53.5653085603,1
115,53.5653085603,53.5653085603,1
116,53.565230658,53.565230658,1
117,53.5651527557,53.5651527557,1
118,53.5656178841,53.5656178841,1
119,53.5630973579,53.5630973579,1
120,53.5653085603,53.5653085603,1
121,53.5654116682,53.5654116682,1
122,53.5630973579,53.5630973579,1
123,53.5626835213,53.5626835213,1
124,53.5619002254,53.5619002254,1
125,53.5627523091,53.5627523091,1
126,53.5626835213,53.5626835213,1
127,53.5605768316,53.5605768316,1
128,53.5605768316,53.5605768316,1
129,53.5605768316,53.5605768316,1
130,53.560214287,53.560214287,1
131,53.5577450526,53.5577450526,1
132,53.560214287,53.560214287,1
133,53.5605768316,53.5605768316,1
134,53.5552273642,53.5552273642,1
135,53.5603864448,53.5603864448,1
136,53.5602051725,53.5602051725,1
137,53.5602051725,53.5602051725,1
138,53.5584918905,53.5584918905,1
139,53.5601960579,53.5601960579,1
140,53.5601960579,53.5601960579,1
141,53.5517101514,53.5517101514,1
142,53.5601960579,53.5601960579,1
143,53.5601960579,53.5601960579,1
144,53.5576398068,53.5576398068,1
145,53.5601960579,53.5601960579,1
146,53.5568518106,53.5568518106,1
147,53.5576398068,53.5576398068,1
148,53.5551796869,53.5551796869,1
149,53.5550835556,53.5550835556,1
150,53.5550835556,53.5550835556,1
151,53.5550835556,53.5550835556,1
152,53.5550835556,53.5550835556,1
153,53.5550835556,53.5550835556,1
154,53.5525273045,53.5525273045,1
155,53.5525273045,53.5525273045,1
156,53.5486929277,53.5486929277,1
157,53.5465627184,53.5465627184,1
158,53.55356293,53.55356293,1
159,53.5534287394,53.5534287394,1
160,53.5571810424,53.5571810424,1
161,53.5583939802,53.5583939802,1
162,53.544858551,53.544858551,1
163,53.544858551,53.544858551,1
164,53.547624386,53.547624386,1
165,53.5624866428,53.5624866428,1
166,53.5542362785,53.5542362785,1
167,53.548546331,53.548546331,1
168,53.5544848062,53.5544848062,1
169,53.5504429802,53.5504429802,1
170,53.5542362785,53.5542362785,1
171,53.5542362785,53.5542362785,1
172,53.5582170674,53.5582170674,1
173,53.5561329277,53.5561329277,1
174,53.5582170674,53.5582170674,1
175,53.560903481,53.560903481,1
176,53.5610800498,53.5610800498,1
177,53.559926226,53.559926226,1
178,53.5605503433,53.5605503433,1
179,53.5601342651,53.5601342651,1
180,53.5633981152,53.5633981152,1
181,53.5641374679,53.5641374679,1
182,53.5618228752,53.5618228752,1
183,53.559926226,53.559926226,1
184,53.5627711998,53.5627711998,1
185,53.5686185756,53.5686185756,1
186,53.567957442,53.567957442,1
187,53.5675128227,53.5675128227,1
188,53.5656161735,53.5656161735,1
189,53.5738131621,53.5738131621,1
190,53.5713805521,53.5713805521,1
191,53.569668997,53.569668997,1
192,53.578534308,53.578534308,1
193,53.571306121,53.571306121,1
194,53.571306121,53.571306121,1
195,53.571306121,53.571306121,1
196,53.574294926,53.574294926,1
197,53.571306121,53.571306121,1
198,53.574294926,53.574294926,1
199,53.5732986577,53.5732986577,1
200,53.5772837311,53.5772837311,1
201,53.5772837311,53.5772837311,1
202,53.5772837311,53.5772837311,1
203,53.5874810061,53.5874810061,1
204,53.5799368938,53.5799368938,1
205,53.5772837311,53.5772837311,1
206,53.5799368938,53.5799368938,1
207,53.5812634751,53.5812634751,1
208,53.5913810935,53.5913810935,1
209,53.5812634751,53.5812634751,1
210,53.5971824512,53.5971824512,1
211,53.5958558699,53.5958558699,1
212,53.5852432191,53.5852432191,1
213,53.5852432191,53.5852432191,1
214,53.5852432191,53.5852432191,1
215,53.5878405668,53.5878405668,1
216,53.5878405668,53.5878405668,1
217,53.5878405668,53.5878405668,1
218,53.5911251688,53.5911251688,1
219,53.5941611294,53.5941611294,1
220,53.6008773842,53.6008773842,1
221,53.6008326582,53.6008326582,1
222,53.6051419393,53.6051419393,1
223,53.603320296,53.603320296,1
224,53.6039709436,53.6039709436,1
225,53.6064685206,53.6064685206,1
226,53.6091216833,53.6091216833,1
227,53.6136087184,53.6136087184,1
228,53.6091216833,53.6091216833,1
229,53.610234578,53.610234578,1
230,53.6072691508,53.6072691508,1
231,53.6137103628,53.6137103628,1
232,53.6073843466,53.6073843466,1
233,53.6105473547,53.6105473547,1
234,53.6122788849,53.6122788849,1
235,53.6137103628,53.6137103628,1
236,53.6069229755,53.6069229755,1
237,53.6020665617,53.6020665617,1
238,53.6022165879,53.6022165879,1
239,53.6043847808,53.6043847808,1
