,Fluvial Flood - 50 year return period_mean,rawmean,normed
0,0.0,0.0,0.0
1,0.0293515582144,0.0293515582144,0.00293515582144
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.000892260585163,0.000892260585163,8.92260585163e-05
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0178952160336,0.0178952160336,0.00178952160336
15,0.0385321742958,0.0385321742958,0.00385321742958
16,0.0,0.0,0.0
17,0.0385824826456,0.0385824826456,0.00385824826456
18,0.00270054262617,0.00270054262617,0.000270054262617
19,0.0311564873247,14.508965976,0.00311564873247
20,0.0,0.0,0.0
21,0.00853556990623,0.00853556990623,0.000853556990623
22,0.00238498882814,0.00238498882814,0.000238498882814
23,0.326559803703,0.326559803703,0.0326559803703
24,0.11910648644,0.11910648644,0.011910648644
25,0.0,0.0,0.0
26,0.46833698924,0.46833698924,0.046833698924
27,0.0957758009434,0.0957758009434,0.00957758009434
28,1.08713587125,41.0036474609,0.108713587125
29,0.0396141886711,0.0396141886711,0.00396141886711
30,0.636933088303,0.636933088303,0.0636933088303
31,0.101147262674,0.101147268948,0.0101147262674
32,0.579754209518,0.579754209518,0.0579754209518
33,0.196623700006,0.196623700006,0.0196623700006
34,0.0,0.0,0.0
35,0.106692563404,22.3043212891,0.0106692563404
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0358438369555,0.0358438369555,0.00358438369555
41,0.0,0.0,0.0
42,0.0113002146993,0.0113002146993,0.00113002146993
43,0.0,0.0,0.0
44,0.056577205658,0.056577205658,0.0056577205658
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.00306154867368,0.00306154867368,0.000306154867368
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0362620073206,0.0362620073206,0.00362620073206
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.277558979235,0.277558979235,0.0277558979235
60,1.22628067017,1.22628067017,0.122628067017
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.00437262157599,0.00437262157599,0.000437262157599
65,0.0194909504869,0.0194909504869,0.00194909504869
66,0.608999967575,0.608999967575,0.0608999967575
67,0.0252616629004,0.0252616629004,0.00252616629004
68,0.9828303077,23.1609917535,0.09828303077
69,0.0083450790156,0.0083450790156,0.00083450790156
70,0.0969793995221,0.0969793995221,0.00969793995221
71,0.0,0.0,0.0
72,0.117597822043,44.1859382181,0.0117597822043
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,1.08046722412,100.872418213,0.108046722412
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
