,Typhoon - 200 year return period_mean,rawmean,normed
0,55.7296608435,55.7296608435,1
1,55.7820494891,55.7820494891,1
2,55.7404286743,55.7404286743,1
3,55.7404286743,55.7404286743,1
4,55.7422190555,55.7422190555,1
5,55.7536458921,55.7536458921,1
6,55.7621835932,55.7621835932,1
7,55.7700471757,55.7700471757,1
8,55.7835300949,55.7835300949,1
9,55.804115694,55.804115694,1
10,55.8218365538,55.8218365538,1
11,55.8034188997,55.8034188997,1
12,55.8034188997,55.8034188997,1
13,55.7997990678,55.7997990678,1
14,55.8187835687,55.8187835687,1
15,55.8014097646,55.8014097646,1
16,55.7883132294,55.7883132294,1
17,55.7925673576,55.7925673576,1
18,55.7911767883,55.7911767883,1
19,55.7981896222,55.7981896222,1
20,55.8006619622,55.8006619622,1
21,55.8015622128,55.8015622128,1
22,55.8137220308,55.8137220308,1
23,55.7971059442,55.7971059442,1
24,55.7999475116,55.7999475116,1
25,55.8366564374,55.8366564374,1
26,55.8154652907,55.8154652907,1
27,55.81788499,55.81788499,1
28,55.8223473307,55.8223473307,1
29,55.8274130707,55.8274130707,1
30,55.8271891472,55.8271891472,1
31,55.8336752527,55.8336752527,1
32,55.8335632153,55.8335632153,1
33,55.8523383763,55.8523383763,1
34,55.8501942923,55.8501942923,1
35,55.8479189293,55.8479189293,1
36,55.8616155205,55.8616155205,1
37,55.8595100732,55.8595100732,1
38,55.8293356501,55.8293356501,1
39,55.8755483915,55.8755483915,1
40,55.9022224837,55.9022224837,1
41,55.9035131829,55.9035131829,1
42,55.8356683262,55.8356683262,1
43,55.8348664138,55.8348664138,1
44,55.9830656299,55.9830656299,1
45,55.8461021053,55.8461021053,1
46,55.9245862043,55.9245862043,1
47,55.9284276141,55.9284276141,1
48,55.8594231757,55.8594231757,1
49,55.8709885493,55.8709885493,1
50,55.9601852967,55.9601852967,1
51,55.9809362472,55.9809362472,1
52,56.0032594885,56.0032594885,1
53,55.8612585569,55.8612585569,1
54,55.8752534808,55.8752534808,1
55,55.8535757585,55.8535757585,1
56,55.877794218,55.877794218,1
57,55.992749305,55.992749305,1
58,56.0073840337,56.0073840337,1
59,56.0087236135,56.0087236135,1
60,56.0061018984,56.0061018984,1
61,55.9447274323,55.9447274323,1
62,55.9497250729,55.9497250729,1
63,55.992749305,55.992749305,1
64,55.995943544,55.995943544,1
65,55.995943544,55.995943544,1
66,55.99236103,55.99236103,1
67,55.999137783,55.999137783,1
68,56.0002809062,56.0002809062,1
69,56.0063691224,56.0063691224,1
70,56.0122796501,56.0122796501,1
71,55.8912195671,55.8912195671,1
72,55.9250862286,55.9250862286,1
73,55.9685179555,55.9685179555,1
74,55.9574709663,55.9574709663,1
75,56.0122796501,56.0122796501,1
76,55.9823473508,55.9823473508,1
77,55.9574709663,55.9574709663,1
78,55.9754638924,55.9754638924,1
79,56.0007553572,56.0007553572,1
80,55.9510638574,55.9510638574,1
81,55.9649683815,55.9649683815,1
82,56.0099013767,56.0099013767,1
83,56.0138142267,56.0138142267,1
84,56.0075231034,56.0075231034,1
85,56.0089443083,56.0089443083,1
86,56.0077569466,56.0077569466,1
87,55.9947787191,55.9947787191,1
88,56.0134440665,56.0134440665,1
89,56.0128571583,56.0128571583,1
90,56.0103655133,56.0103655133,1
91,56.007131705,56.007131705,1
92,56.0053813913,56.0053813913,1
93,55.9826990429,55.9826990429,1
94,55.9887084714,55.9887084714,1
95,55.9794712436,55.9794712436,1
96,55.9826990429,55.9826990429,1
97,55.9826990429,55.9826990429,1
98,55.9836941932,55.9836941932,1
99,55.8955373699,55.8955373699,1
100,55.9244007642,55.9244007642,1
101,55.9811870542,55.9811870542,1
102,55.8942854173,55.8942854173,1
103,55.981784544,55.981784544,1
104,56.0028717099,56.0028717099,1
105,56.0015146152,56.0015146152,1
106,55.953524075,55.953524075,1
107,55.9665365489,55.9665365489,1
108,55.9796750655,55.9796750655,1
109,55.9970387364,55.9970387364,1
110,55.9854206416,55.9854206416,1
111,55.981784544,55.981784544,1
112,56.0001575205,56.0001575205,1
113,55.9969711907,55.9969711907,1
114,56.0001575205,56.0001575205,1
115,56.0001575205,56.0001575205,1
116,56.0001575205,56.0001575205,1
117,56.0001575205,56.0001575205,1
118,56.0001575205,56.0001575205,1
119,56.0001575205,56.0001575205,1
120,55.9935782842,55.9935782842,1
121,55.9808828871,55.9808828871,1
122,55.9815864716,55.9815864716,1
123,55.9740343132,55.9740343132,1
124,55.901467817,55.901467817,1
125,55.9188233984,55.9188233984,1
126,55.9736271107,55.9736271107,1
127,55.9736271107,55.9736271107,1
128,55.9745515029,55.9745515029,1
129,55.9055681753,55.9055681753,1
130,55.9021470621,55.9021470621,1
131,55.9716722053,55.9716722053,1
132,55.9736271107,55.9736271107,1
133,55.9736271107,55.9736271107,1
134,55.9736271107,55.9736271107,1
135,55.9869990478,55.9869990478,1
136,55.9837094296,55.9837094296,1
137,55.9686635794,55.9686635794,1
138,55.9837094296,55.9837094296,1
139,55.9837094296,55.9837094296,1
140,55.9791927267,55.9791927267,1
141,55.9804198115,55.9804198115,1
142,55.9808619476,55.9808619476,1
143,55.9804198115,55.9804198115,1
144,55.9804198115,55.9804198115,1
145,55.9804198115,55.9804198115,1
146,55.9804198115,55.9804198115,1
147,55.9804198115,55.9804198115,1
148,55.9808619476,55.9808619476,1
149,55.9567861712,55.9567861712,1
150,55.962198015,55.962198015,1
151,55.962198015,55.962198015,1
152,55.9567861712,55.9567861712,1
153,55.9567861712,55.9567861712,1
154,55.9567861712,55.9567861712,1
155,55.9370062971,55.9370062971,1
156,55.9575945187,55.9575945187,1
157,55.9567861712,55.9567861712,1
158,55.9786522614,55.9786522614,1
159,55.9714363236,55.9714363236,1
160,55.9723332264,55.9723332264,1
161,55.9804198115,55.9804198115,1
162,55.9774101987,55.9774101987,1
163,55.9804198115,55.9804198115,1
164,55.9766211241,55.9766211241,1
165,55.9780091147,55.9780091147,1
166,55.9722980733,55.9722980733,1
167,55.9773395562,55.9773395562,1
168,55.976000439,55.976000439,1
169,55.9373388038,55.9373388038,1
170,55.9741492562,55.9741492562,1
171,55.9685957077,55.9685957077,1
172,55.9760285781,55.9760285781,1
173,55.9630421591,55.9630421591,1
174,55.9748535312,55.9748535312,1
175,55.9729685052,55.9729685052,1
176,55.9738451428,55.9738451428,1
177,55.9747217804,55.9747217804,1
178,55.975598418,55.975598418,1
179,55.9574886106,55.9574886106,1
180,55.9738451428,55.9738451428,1
181,55.9738451428,55.9738451428,1
182,55.9738451428,55.9738451428,1
183,55.964893342,55.964893342,1
184,55.964893342,55.964893342,1
185,55.9630421591,55.9630421591,1
186,55.9792431317,55.9792431317,1
187,55.9738451428,55.9738451428,1
188,55.9771929561,55.9771929561,1
189,55.9738451428,55.9738451428,1
190,55.9593397935,55.9593397935,1
191,55.9826627198,55.9826627198,1
192,55.9771929561,55.9771929561,1
193,55.9646385913,55.9646385913,1
194,55.9888084748,55.9888084748,1
195,55.9845352959,55.9845352959,1
196,55.9793672313,55.9793672313,1
197,55.9734995411,55.9734995411,1
198,55.9883641301,55.9883641301,1
199,55.9920162333,55.9920162333,1
200,55.9786639636,55.9786639636,1
201,55.9730789215,55.9730789215,1
202,55.9680862062,55.9680862062,1
203,55.9680862062,55.9680862062,1
204,55.9846878388,55.9846878388,1
205,55.9732485453,55.9732485453,1
206,56.0004282107,56.0004282107,1
207,55.9986939972,55.9986939972,1
208,56.0029053648,56.0029053648,1
209,55.9906392603,55.9906392603,1
210,56.0084495574,56.0084495574,1
211,56.0066814887,56.0066814887,1
212,56.0047561278,56.0047561278,1
213,56.002600996,56.002600996,1
214,56.002600996,56.002600996,1
215,56.002600996,56.002600996,1
216,56.0007651199,56.0007651199,1
217,56.0018156473,56.0018156473,1
218,56.0001035157,56.0001035157,1
219,56.0018156473,56.0018156473,1
220,56.0127567299,56.0127567299,1
221,56.0018401404,56.0018401404,1
222,56.0066135073,56.0066135073,1
223,56.0050317763,56.0050317763,1
224,56.0042145773,56.0042145773,1
225,56.0158272962,56.0158272962,1
226,56.0066135073,56.0066135073,1
227,56.0072839363,56.0072839363,1
228,56.0072839363,56.0072839363,1
229,55.9918176148,55.9918176148,1
230,56.0100561705,56.0100561705,1
231,56.0105102926,56.0105102926,1
232,56.0110128112,56.0110128112,1
233,55.9898683081,55.9898683081,1
234,55.9742638962,55.9742638962,1
235,55.9954591362,55.9954591362,1
236,55.9898683081,55.9898683081,1
237,55.9930221049,55.9930221049,1
238,56.0144336485,56.0144336485,1
239,56.0061270807,56.0061270807,1
240,56.0105760448,56.0105760448,1
241,56.0142470843,56.0142470843,1
242,56.0143043271,56.0143043271,1
243,56.0167093213,56.0167093213,1
244,56.0162855043,56.0162855043,1
245,56.0167198771,56.0167198771,1
246,56.0163292444,56.0163292444,1
247,56.0113206261,56.0113206261,1
248,55.9846971914,55.9846971914,1
