,Landslide_mean,rawmean,normed
204,2.28571428571,2.28571428571,0.457142857143
205,2.75,2.75,0.55
206,2.25,2.25,0.45
207,2.33333333333,2.33333333333,0.466666666667
208,2.33333333333,2.33333333333,0.466666666667
209,2.4,2.4,0.48
210,2.4,2.4,0.48
211,2.4,2.4,0.48
212,2.0,2.0,0.4
213,3.0,3.0,0.6
214,3.0,3.0,0.6
215,3.0,3.0,0.6
216,3.0,3.0,0.6
217,3.0,3.0,0.6
218,3.2,3.2,0.64
219,2.66666666667,2.66666666667,0.533333333333
220,2.25,2.25,0.45
221,2.5,2.5,0.5
222,2.33333333333,2.33333333333,0.466666666667
223,2.0,2.0,0.4
224,2.0,2.0,0.4
225,2.375,2.375,0.475
226,2.0,2.0,0.4
227,2.0,2.0,0.4
228,3.0,3.0,0.6
229,2.5,2.5,0.5
230,2.66666666667,2.66666666667,0.533333333333
231,3.0,3.0,0.6
232,3.33333333333,3.33333333333,0.666666666667
233,2.0,2.0,0.4
234,1.64705882353,1.64705882353,0.329411764706
235,2.0,2.0,0.4
236,2.0,2.0,0.4
237,2.0,2.0,0.4
238,2.66666666667,2.66666666667,0.533333333333
239,2.8,2.8,0.56
240,3.75,3.75,0.75
241,2.2,2.2,0.44
242,2.0,2.0,0.4
243,2.0,2.0,0.4
244,3.0,3.0,0.6
245,2.66666666667,2.66666666667,0.533333333333
246,2.5,2.5,0.5
247,2.5,2.5,0.5
248,1.75,1.75,0.35
