,Extreme Heat - 20 year return period_mean,rawmean,normed
0,32.6300010681,32.6300010681,0.858573720036
1,32.7714996338,32.7714996338,0.869309574543
2,32.6300010681,32.6300010681,0.858573720036
3,32.6300010681,32.6300010681,0.858573720036
4,32.9095001221,32.9095001221,0.879780021059
5,33.188999176,33.188999176,0.900986322082
6,33.188999176,33.188999176,0.900986322082
7,33.188999176,33.188999176,0.900986322082
8,33.1930007935,33.1930007935,0.90128993493
9,33.1969985962,33.1969985962,0.901593258348
10,33.1969985962,33.1969985962,0.901593258348
11,32.9129981995,32.9129981995,0.880045429049
12,32.9129981995,32.9129981995,0.880045429049
13,33.0550003052,33.0550003052,0.890819488414
14,32.9129981995,32.9129981995,0.880045429049
15,33.0550003052,33.0550003052,0.890819488414
16,33.1969985962,33.1969985962,0.901593258348
17,33.1969985962,33.1969985962,0.901593258348
18,33.1969985962,33.1969985962,0.901593258348
19,33.1969985962,33.1969985962,0.901593258348
20,33.1969985962,33.1969985962,0.901593258348
21,33.1969985962,33.1969985962,0.901593258348
22,33.1969985962,33.1969985962,0.901593258348
23,33.1969985962,33.1969985962,0.901593258348
24,33.1969985962,33.1969985962,0.901593258348
25,33.5316645304,33.5316645304,0.926985210282
26,33.1969985962,33.1969985962,0.901593258348
27,33.1969985962,33.1969985962,0.901593258348
28,33.1969985962,33.1969985962,0.901593258348
29,32.9654998779,32.9654998779,0.884028864349
30,33.1969985962,33.1969985962,0.901593258348
31,32.9654998779,32.9654998779,0.884028864349
32,32.9654998779,32.9654998779,0.884028864349
33,33.638999939,33.638999939,0.935129019542
34,33.638999939,33.638999939,0.935129019542
35,33.1865005493,33.1865005493,0.900796744946
36,33.638999939,33.638999939,0.935129019542
37,33.638999939,33.638999939,0.935129019542
38,32.7340011597,32.7340011597,0.86646447035
39,33.638999939,33.638999939,0.935129019542
40,33.638999939,33.638999939,0.935129019542
41,33.638999939,33.638999939,0.935129019542
42,32.7340011597,32.7340011597,0.86646447035
43,32.7340011597,32.7340011597,0.86646447035
44,34.0219993591,34.0219993591,0.964188155452
45,32.7340011597,32.7340011597,0.86646447035
46,33.638999939,33.638999939,0.935129019542
47,33.638999939,33.638999939,0.935129019542
48,33.638999939,33.638999939,0.935129019542
49,33.638999939,33.638999939,0.935129019542
50,33.638999939,33.638999939,0.935129019542
51,33.8304977417,33.8304977417,0.949658442782
52,34.0219993591,34.0219993591,0.964188155452
53,33.1865005493,33.1865005493,0.900796744946
54,33.638999939,33.638999939,0.935129019542
55,32.7340011597,32.7340011597,0.86646447035
56,33.0514984131,33.0514984131,0.890553790993
57,34.0219993591,34.0219993591,0.964188155452
58,34.0219993591,34.0219993591,0.964188155452
59,34.0219993591,34.0219993591,0.964188155452
60,34.0219993591,34.0219993591,0.964188155452
61,33.638999939,33.638999939,0.935129019542
62,33.638999939,33.638999939,0.935129019542
63,34.0219993591,34.0219993591,0.964188155452
64,34.0219993591,34.0219993591,0.964188155452
65,34.0219993591,34.0219993591,0.964188155452
66,34.0219993591,34.0219993591,0.964188155452
