,Earthquake - 475 year return period_mean,rawmean,normed
131,0.05521091,0.05521091,0.150006713648
132,0.05521091,0.05521091,0.150006713648
133,0.05521091,0.05521091,0.150006713648
134,0.05521091,0.05521091,0.150006713648
135,0.05031792,0.05031792,0.136712577583
136,0.05031792,0.05031792,0.136712577583
137,0.05521091,0.05521091,0.150006713648
138,0.05031792,0.05031792,0.136712577583
139,0.05031792,0.05031792,0.136712577583
140,0.05031792,0.05031792,0.136712577583
141,0.05031792,0.05031792,0.136712577583
142,0.05031792,0.05031792,0.136712577583
143,0.05031792,0.05031792,0.136712577583
144,0.05031792,0.05031792,0.136712577583
145,0.05031792,0.05031792,0.136712577583
146,0.05031792,0.05031792,0.136712577583
147,0.0516713,0.0516713,0.140389678469
148,0.0516713,0.0516713,0.140389678469
149,0.05521091,0.05521091,0.150006713648
150,0.05521091,0.05521091,0.150006713648
151,0.05521091,0.05521091,0.150006713648
152,0.05521091,0.05521091,0.150006713648
153,0.05521091,0.05521091,0.150006713648
154,0.05521091,0.05521091,0.150006713648
155,0.057046495,0.057046495,0.154993953913
156,0.057046495,0.057046495,0.154993953913
157,0.05521091,0.05521091,0.150006713648
158,0.0516713,0.0516713,0.140389678469
159,0.0540748933333,0.0540748933333,0.146920183706
160,0.0516713,0.0516713,0.140389678469
161,0.0516713,0.0516713,0.140389678469
162,0.05302468,0.05302468,0.144066779356
163,0.05302468,0.05302468,0.144066779356
164,0.05302468,0.05302468,0.144066779356
165,0.05302468,0.05302468,0.144066779356
166,0.05302468,0.05302468,0.144066779356
167,0.05302468,0.05302468,0.144066779356
168,0.05302468,0.05302468,0.144066779356
169,0.05888208,0.05888208,0.159981194179
170,0.05302468,0.05302468,0.144066779356
171,0.05302468,0.05302468,0.144066779356
172,0.05302468,0.05302468,0.144066779356
173,0.05302468,0.05302468,0.144066779356
174,0.0516713,0.0516713,0.140389678469
175,0.05302468,0.05302468,0.144066779356
176,0.05302468,0.05302468,0.144066779356
177,0.05302468,0.05302468,0.144066779356
178,0.05302468,0.05302468,0.144066779356
179,0.05302468,0.05302468,0.144066779356
180,0.05302468,0.05302468,0.144066779356
181,0.05302468,0.05302468,0.144066779356
182,0.05302468,0.05302468,0.144066779356
183,0.05302468,0.05302468,0.144066779356
184,0.05302468,0.05302468,0.144066779356
185,0.05302468,0.05302468,0.144066779356
186,0.05302468,0.05302468,0.144066779356
187,0.05302468,0.05302468,0.144066779356
188,0.05302468,0.05302468,0.144066779356
189,0.05302468,0.05302468,0.144066779356
190,0.05302468,0.05302468,0.144066779356
191,0.05085307,0.05085307,0.138166567253
192,0.05302468,0.05302468,0.144066779356
193,0.05302468,0.05302468,0.144066779356
194,0.05302468,0.05302468,0.144066779356
195,0.05302468,0.05302468,0.144066779356
196,0.05302468,0.05302468,0.144066779356
197,0.05888208,0.05888208,0.159981194179
198,0.0549771466667,0.0549771466667,0.149371584297
199,0.05302468,0.05302468,0.144066779356
200,0.05888208,0.05888208,0.159981194179
201,0.05888208,0.05888208,0.159981194179
202,0.05302468,0.05302468,0.144066779356
203,0.05302468,0.05302468,0.144066779356
204,0.05302468,0.05302468,0.144066779356
205,0.05302468,0.05302468,0.144066779356
206,0.05302468,0.05302468,0.144066779356
207,0.05302468,0.05302468,0.144066779356
208,0.05302468,0.05302468,0.144066779356
209,0.0549771466667,0.0549771466667,0.149371584297
210,0.05302468,0.05302468,0.144066779356
211,0.05302468,0.05302468,0.144066779356
212,0.05302468,0.05302468,0.144066779356
213,0.05302468,0.05302468,0.144066779356
214,0.05302468,0.05302468,0.144066779356
215,0.05302468,0.05302468,0.144066779356
216,0.05302468,0.05302468,0.144066779356
217,0.05302468,0.05302468,0.144066779356
218,0.05595338,0.05595338,0.152023986768
219,0.05302468,0.05302468,0.144066779356
220,0.05302468,0.05302468,0.144066779356
221,0.05302468,0.05302468,0.144066779356
222,0.05302468,0.05302468,0.144066779356
223,0.05302468,0.05302468,0.144066779356
224,0.05302468,0.05302468,0.144066779356
225,0.05302468,0.05302468,0.144066779356
226,0.05302468,0.05302468,0.144066779356
227,0.05302468,0.05302468,0.144066779356
228,0.05302468,0.05302468,0.144066779356
229,0.05302468,0.05302468,0.144066779356
230,0.05302468,0.05302468,0.144066779356
231,0.05302468,0.05302468,0.144066779356
232,0.05302468,0.05302468,0.144066779356
233,0.05302468,0.05302468,0.144066779356
234,0.052740665,0.052740665,0.143295117437
235,0.05302468,0.05302468,0.144066779356
236,0.05302468,0.05302468,0.144066779356
237,0.0549721466667,0.0549721466667,0.149357999417
238,0.05302468,0.05302468,0.144066779356
239,0.060860475,0.060860475,0.165356445778
240,0.05595088,0.05595088,0.152017194328
241,0.05302468,0.05302468,0.144066779356
242,0.05302468,0.05302468,0.144066779356
243,0.05302468,0.05302468,0.144066779356
244,0.05448528,0.05448528,0.148035194402
245,0.05302468,0.05302468,0.144066779356
246,0.05448528,0.05448528,0.148035194402
247,0.05594588,0.05594588,0.152003609448
248,0.05594588,0.05594588,0.152003609448
