,WildFire - 10 year return period_mean,rawmean,normed
0,74.6297073364,74.6297073364,0.836644568741
1,74.6297073364,74.6297073364,0.836644568741
2,74.6297073364,74.6297073364,0.836644568741
3,74.6297073364,74.6297073364,0.836644568741
4,74.6297073364,74.6297073364,0.836644568741
5,74.6297073364,74.6297073364,0.836644568741
6,74.6297073364,74.6297073364,0.836644568741
7,74.6297073364,74.6297073364,0.836644568741
8,74.6297073364,74.6297073364,0.836644568741
9,74.6297073364,74.6297073364,0.836644568741
10,71.3536834717,71.3536834717,0.774856857041
11,74.6297073364,74.6297073364,0.836644568741
12,74.6297073364,74.6297073364,0.836644568741
13,74.6297073364,74.6297073364,0.836644568741
14,74.6297073364,74.6297073364,0.836644568741
15,74.6297073364,74.6297073364,0.836644568741
16,74.6297073364,74.6297073364,0.836644568741
17,74.6297073364,74.6297073364,0.836644568741
18,74.6297073364,74.6297073364,0.836644568741
19,74.6297073364,74.6297073364,0.836644568741
20,74.6297073364,74.6297073364,0.836644568741
21,74.6297073364,74.6297073364,0.836644568741
22,74.6297073364,74.6297073364,0.836644568741
23,74.6297073364,74.6297073364,0.836644568741
24,74.6297073364,74.6297073364,0.836644568741
25,71.3536834717,71.3536834717,0.774856857041
26,74.6297073364,74.6297073364,0.836644568741
27,74.6297073364,74.6297073364,0.836644568741
28,74.6297073364,74.6297073364,0.836644568741
29,74.6297073364,74.6297073364,0.836644568741
30,74.6297073364,74.6297073364,0.836644568741
31,71.3536834717,71.3536834717,0.774856857041
32,71.3536834717,71.3536834717,0.774856857041
33,68.0776519775,68.0776519775,0.713069001446
34,68.0776519775,68.0776519775,0.713069001446
35,68.0776519775,68.0776519775,0.713069001446
36,68.0776519775,68.0776519775,0.713069001446
37,68.0776519775,68.0776519775,0.713069001446
38,74.6297073364,74.6297073364,0.836644568741
39,68.0776519775,68.0776519775,0.713069001446
40,68.0776519775,68.0776519775,0.713069001446
41,68.0776519775,68.0776519775,0.713069001446
42,74.6297073364,74.6297073364,0.836644568741
43,74.6297073364,74.6297073364,0.836644568741
44,68.0776519775,68.0776519775,0.713069001446
45,74.6297073364,74.6297073364,0.836644568741
46,68.0776519775,68.0776519775,0.713069001446
47,68.0776519775,68.0776519775,0.713069001446
48,68.0776519775,68.0776519775,0.713069001446
49,68.0776519775,68.0776519775,0.713069001446
50,68.0776519775,68.0776519775,0.713069001446
51,68.0776519775,68.0776519775,0.713069001446
52,68.0776519775,68.0776519775,0.713069001446
53,68.0776519775,68.0776519775,0.713069001446
54,68.0776519775,68.0776519775,0.713069001446
55,74.6297073364,74.6297073364,0.836644568741
56,74.6297073364,74.6297073364,0.836644568741
57,68.0776519775,68.0776519775,0.713069001446
58,68.0776519775,68.0776519775,0.713069001446
59,68.0776519775,68.0776519775,0.713069001446
60,68.0776519775,68.0776519775,0.713069001446
61,68.0776519775,68.0776519775,0.713069001446
62,68.0776519775,68.0776519775,0.713069001446
63,68.0776519775,68.0776519775,0.713069001446
64,68.0776519775,68.0776519775,0.713069001446
65,68.0776519775,68.0776519775,0.713069001446
66,68.0776519775,68.0776519775,0.713069001446
67,68.0776519775,68.0776519775,0.713069001446
68,68.0776519775,68.0776519775,0.713069001446
69,68.0776519775,68.0776519775,0.713069001446
70,68.0776519775,68.0776519775,0.713069001446
71,68.0776519775,68.0776519775,0.713069001446
72,68.0776519775,68.0776519775,0.713069001446
73,68.0776519775,68.0776519775,0.713069001446
74,68.0776519775,68.0776519775,0.713069001446
75,68.0776519775,68.0776519775,0.713069001446
76,68.0776519775,68.0776519775,0.713069001446
77,68.0776519775,68.0776519775,0.713069001446
78,68.0776519775,68.0776519775,0.713069001446
79,68.0776519775,68.0776519775,0.713069001446
80,68.0776519775,68.0776519775,0.713069001446
81,68.0776519775,68.0776519775,0.713069001446
82,68.0776519775,68.0776519775,0.713069001446
83,68.0776519775,68.0776519775,0.713069001446
84,68.0776519775,68.0776519775,0.713069001446
85,68.0776519775,68.0776519775,0.713069001446
86,68.0776519775,68.0776519775,0.713069001446
87,68.0776519775,68.0776519775,0.713069001446
88,68.0776519775,68.0776519775,0.713069001446
89,68.0776519775,68.0776519775,0.713069001446
90,68.0776519775,68.0776519775,0.713069001446
91,68.0776519775,68.0776519775,0.713069001446
92,68.0776519775,68.0776519775,0.713069001446
93,68.0776519775,68.0776519775,0.713069001446
94,68.0776519775,68.0776519775,0.713069001446
95,68.0776519775,68.0776519775,0.713069001446
96,68.0776519775,68.0776519775,0.713069001446
97,68.0776519775,68.0776519775,0.713069001446
98,68.0776519775,68.0776519775,0.713069001446
99,68.0776519775,68.0776519775,0.713069001446
100,68.0776519775,68.0776519775,0.713069001446
101,68.0776519775,68.0776519775,0.713069001446
102,68.0776519775,68.0776519775,0.713069001446
103,68.0776519775,68.0776519775,0.713069001446
104,68.0776519775,68.0776519775,0.713069001446
105,68.0776519775,68.0776519775,0.713069001446
106,68.0776519775,68.0776519775,0.713069001446
107,68.0776519775,68.0776519775,0.713069001446
108,68.0776519775,68.0776519775,0.713069001446
109,68.0776519775,68.0776519775,0.713069001446
110,68.0776519775,68.0776519775,0.713069001446
111,68.0776519775,68.0776519775,0.713069001446
112,68.0776519775,68.0776519775,0.713069001446
113,68.0776519775,68.0776519775,0.713069001446
114,68.0776519775,68.0776519775,0.713069001446
115,68.0776519775,68.0776519775,0.713069001446
116,68.0776519775,68.0776519775,0.713069001446
117,68.0776519775,68.0776519775,0.713069001446
118,68.0776519775,68.0776519775,0.713069001446
119,68.0776519775,68.0776519775,0.713069001446
